offset	jp	ko
0x00134	楽浪	낙랑
0x0013D	楽浪	낙랑
0x00146	楽浪	낙랑
0x0014F	襄平	양평
0x00158	白狼山	백랑산
0x00161	北平	북평
0x0016A	易京	역경
0x00173	易京	역경
0x0017C	薊	계
0x00185	薊	계
0x0018E	薊	계
0x00197	南皮	남피
0x001A0	南皮	남피
0x001A9	南皮	남피
0x001B2	南皮	남피
0x001BB	南皮	남피
0x001C4	界橋	계교
0x001CD	界橋	계교
0x001F1	平原	평원
0x001FA	平原	평원
0x00203	平原	평원
0x0020C	北海	북해
0x00215	北海	북해
0x0021E	北海	북해
0x00227	北海	북해
0x00230	城陽	성양
0x00239	城陽	성양
0x00242	城陽	성양
0x0024B	城陽	성양
0x00254	晋陽	진양
0x0025D	晋陽	진양
0x00266	晋陽	진양
0x0026F	上党	상당
0x00278	壺関	호관
0x00281	下	하비
0x0028A	下	하비
0x00293	下	하비
0x0029C	淮陰	회음
0x002A5	小沛	소패
0x002AE	小沛	소패
0x002B7	小沛	소패
0x002C0	小沛	소패
0x002C9	白馬	백마
0x002D2	濮陽	복양
0x002DB	定陶	정도
0x002E4	定陶	정도
0x002ED	官渡	관도
0x002F6	陳留	진류
0x002FF	陳留	진류
0x00308	陳留	진류
0x00311	陳留	진류
0x0031A	許昌	허창
0x00323	許昌	허창
0x0032C	許昌	허창
0x00335	許昌	허창
0x0033E	許昌	허창
0x0036B	汝南	여남
0x00374	汝南	여남
0x0037D	汝南	여남
0x00386	汝南	여남
0x0038F	河内	하내
0x00398	河内	하내
0x003A1	虎牢関	호뢰관
0x003AA	虎牢関	호뢰관
0x003B3	虎牢関	호뢰관
0x003BC	函谷関	함곡관
0x003C5	虎牢関	호뢰관
0x003CE	弘農	홍농
0x003D7	弘農	홍농
0x003E0	潼関	동관
0x003E9	長安	장안
0x003F2	五丈原	오장원
0x003FB	武関	무관
0x00404	天水	천수
0x0040D	天水	천수
0x00416	祁山	기산
0x0041F	安定	안정
0x00428	街亭	가정
0x00431	安定	안정
0x0043A	武威	무위
0x00443	武威	무위
0x0044C	狄道	적도
0x00455	西平	서평
0x0045E	武都	무도
0x00467	武都	무도
0x00470	武都	무도
0x00479	斜谷関	사곡관
0x00482	陽平関	양평관
0x0048B	陽平関	양평관
0x00494	漢中	한중
0x0049D	剣閣	검각
0x004A6	剣閣	검각
0x004AF	綿竹関	면죽관
0x004B8	梓潼	재동
0x004C1	成都	성도
0x004CA	成都	성도
0x004D3	成都	성도
0x004DC	江州	강주
0x004E5	江州	강주
0x004EE	江州	강주
0x004F7	江州	강주
0x00500	永安	영안
0x00509	永安	영안
0x00512	永安	영안
0x0051B	建寧	건녕
0x00524	建寧	건녕
0x0052D	雲南	운남
0x00536	雲南	운남
0x0053F	雲南	운남
0x00548	雲南	운남
0x00551	永昌	영창
0x0055A	宛	완
0x00563	宛	완
0x0056C	宛	완
0x00575	宛	완
0x0057E	博望	박망
0x00587	博望	박망
0x00590	新野	신야
0x00599	新野	신야
0x005A2	襄陽	양양
0x005AB	襄陽	양양
0x005B4	襄陽	양양
0x005BD	襄陽	양양
0x005C6	江夏	강하
0x005CF	江夏	강하
0x005D8	江夏	강하
0x005E1	西塞山	서새산
0x005EA	西塞山	서새산
0x005F3	上庸	상용
0x005FC	上庸	상용
0x00605	夷陵	이릉
0x0060E	長坂坡	장판파
0x00617	江陵	강릉
0x00620	江陵	강릉
0x00629	夷陵	이릉
0x00632	江陵	강릉
0x0063B	長沙	장사
0x00644	長沙	장사
0x0064D	長沙	장사
0x00656	長沙	장사
0x0065F	零陵	영릉
0x00668	零陵	영릉
0x00671	武陵	무릉
0x0067A	武陵	무릉
0x00683	武陵	무릉
0x0068C	武陵	무릉
0x00695	桂陽	계양
0x0069E	桂陽	계양
0x006A7	桂陽	계양
0x006B0	寿春	수춘
0x006B9	寿春	수춘
0x006C2	寿春	수춘
0x006CB	合肥	합비
0x006D4	合肥	합비
0x006DD	廬江	여강
0x006E6	廬江	여강
0x006EF	廬江	여강
0x006F8	廬江	여강
0x00701	建業	건업
0x0070A	濡須	유수
0x00713	濡須	유수
0x0071C	建業	건업
