no	sei	mei	azana	ko_sei	ko_mei	ko_azana
0	阿会	喃		아회	남	
1	韋	昭	弘嗣	위	소	홍사
2	伊	籍	機伯	이	적	기백
3	尹	賞		윤	상	
4	尹	大目		윤	대목	
5	尹	黙	思潜	윤	묵	사잠
6	于	吉		우	길	
7	于	禁	文則	우	금	문칙
8	于	詮		우	전	
9	越	吉		월	길	
10	袁	遺	伯業	원	유	백업
11	袁	胤		원	윤	
12	閻	宇	文平	염	우	문평
13	袁	煕	顕奕	원	희	현혁
14	閻	柔		염	유	
15	袁	術	公路	원	술	공로
16	袁	尚	顕甫	원	상	현보
17	袁	紹	本初	원	소	본초
18	袁	譚	顕思	원	담	현사
19	閻	圃		염	포	
20	袁	燿		원	요	
21	王	威		왕	위	
22	王	允	子師	왕	윤	자사
23	王	基	伯輿	왕	기	백여
24	王	〓{F081}	孔碩	왕	기	공석
25	王	匡	公節	왕	광	공절
26	王	経	彦緯	왕	경	언위
27	王	伉		왕	항	
28	王	渾	玄沖	왕	혼	현충
29	王	粲	仲宣	왕	찬	중선
30	王	修	叔治	왕	수	숙치
31	王	戎	濬沖	왕	융	준충
32	王	濬	士治	왕	준	사치
33	王	双	子全	왕	쌍	자전
34	王	昶	文舒	왕	창	문서
35	王	平	子均	왕	평	자균
36	王	甫	国山	왕	보	국산
37	王	累		왕	루	
38	王	朗	景興	왕	랑	경흥
39	於	夫羅		어	부라	
40	何	晏	平叔	하	안	평숙
41	〓{F044}	越	異度	괴	월	이도
42	〓{F044}	良	子柔	괴	량	자유
43	華	覈	永先	화	핵	영선
44	俄何	焼戈		아하	소과	
45	賈	逵	梁道	가	규	양도
46	何	儀		하	의	
47	華	〓{F055}	子魚	화	흠	자어
48	賈	〓{F049}	文和	가	후	문화
49	郭	奕	伯益	곽	혁	백익
50	郭	嘉	奉孝	곽	가	봉효
51	鄂	煥		악	환	
52	郭	汜		곽	사	
53	霍	峻	仲〓{F04E}	곽	준	중막
54	〓{F05A}	昭	伯道	학	소	백도
55	楽	進	文謙	악	진	문겸
56	楽	〓{F072}		악	침	
57	郭	図	公則	곽	도	공칙
58	郭	攸之	演長	곽	유지	연장
59	霍	弋	紹先	곽	익	소선
60	郭	淮	伯済	곽	회	백제
61	夏侯	威	季権	하후	위	계권
62	夏侯	淵	妙才	하후	연	묘재
63	夏侯	恩		하후	은	
64	夏侯	和	義権	하후	화	의권
65	夏侯	恵	稚権	하후	혜	치권
66	夏侯	玄	太初	하후	현	태초
67	夏侯	尚	伯仁	하후	상	백인
68	夏侯	徳		하후	덕	
69	夏侯	惇	元譲	하후	돈	원양
70	夏侯	覇	仲権	하후	패	중권
71	夏侯	楙	子林	하후	무	자림
72	賈	充	公閭	가	충	공려
73	賀	斉	公苗	하	제	공묘
74	華	佗	元化	화	타	원화
75	雅	丹		아	단	
76	賈	範		가	범	
77	軻	比能		가	비능	
78	華	雄		화	웅	
79	関	彝		관	이	
80	関	羽	雲長	관	우	운장
81	管	亥		관	해	
82	〓{F07B}丘	倹	仲恭	관구	검	중공
83	韓	玄		한	현	
84	韓	浩	元嗣	한	호	원사
85	関	興	安国	관	흥	안국
86	関	索		관	삭	
87	韓	遂	文約	한	수	문약
88	韓	嵩	徳高	한	숭	덕고
89	韓	暹		한	섬	
90	〓{F051}	沢	徳潤	감	택	덕윤
91	関	統		관	통	
92	韓	当	義公	한	당	의공
93	甘	寧	興覇	감	녕	흥패
94	桓	範	元則	환	범	원칙
95	韓	馥	文節	한	복	문절
96	関	平		관	평	
97	簡	雍	憲和	간	옹	헌화
98	顔	良		안	량	
99	管	輅	公明	관	로	공명
100	魏	延	文長	위	연	문장
101	麹	義		국	의	
102	戯	志才		희	지재	
103	魏	続		위	속	
104	魏	攸		위	유	
105	牛	金		우	금	
106	牛	輔		우	보	
107	丘	力居		구	력거	
108	姜	維	伯約	강	유	백약
109	鞏	志		공	지	
110	橋	〓{F079}		교	유	
111	〓{F084}	都		강	도	
