kind	no	jp	ko
도시	0	遼東	요동
도시	1	北平	북평
도시	2	薊	계
도시	3	渤海	발해
도시	4	平原	평원
도시	5	〓	업
도시	6	晋陽	진양
도시	7	上党	상당
도시	8	済南	제남
도시	9	北海	북해
도시	10	濮陽	복양
도시	11	陳留	진류
도시	12	下〓	하비
도시	13	小沛	소패
도시	14	〓	초
도시	15	許昌	허창
도시	16	汝南	여남
도시	17	洛陽	낙양
도시	18	弘農	홍농
도시	19	長安	장안
도시	20	天水	천수
도시	21	西平	서평
도시	22	西涼	서량
도시	23	広陵	광릉
도시	24	寿春	수춘
도시	25	廬江	여강
도시	26	秣陵	말릉
도시	27	呉	오
도시	28	会稽	회계
도시	29	翻陽	파양
도시	30	柴桑	시상
도시	31	宛	완
도시	32	新野	신야
도시	33	襄陽	양양
도시	34	上庸	상용
도시	35	江夏	강하
도시	36	江陵	강릉
도시	37	長沙	장사
도시	38	武陵	무릉
도시	39	桂陽	계양
도시	40	零陵	영릉
도시	41	漢中	한중
도시	42	武都	무도
도시	43	永安	영안
도시	44	〓	부
도시	45	巴	파
도시	46	成都	성도
도시	47	建寧	건녕
도시	48	永昌	영창
도시	49	三江	삼강
주	0	幽州	유주
주	1	冀州	기주
주	2	青州	청주
주	3	州	병주
주	4	徐州	서주
주	5	州	연주
주	6	豫州	예주
주	7	司隷	사예
주	8	雍州	옹주
주	9	涼州	양주
주	10	益州	익주
주	11	南中	남중
주	12	荊北	형북
주	13	荊南	형남
주	14	淮南	회남
주	15	揚州	양주
