# $코드	인자 바이트 수	출현 횟수
0	0	49
1	0	11
2	0	1728
3	0	5
5	0	16
6	0	60
7	0	22
8	0	5
9	0	13
10	0	10
11	0	29
13	0	1
14	0	24
15	0	54
16	0	143
17	4	419
19	8	144
20	12	2
21	16	16
24	4	4
25	8	180
30	0	241
31	0	7382
32	0	1096
33	0	5553
34	0	6505
36	4	261
37	4	476
38	4	4121
39	4	270
40	4	39
41	4	11
43	4	2
44	4	3
52	4	1072
53	0	3152
54	0	4455
55	4	2904
56	0	4622
57	0	2904
59	0	136
60	0	365
78	0	1
121	0	1
142	0	12
143	0	1
144	0	5
145	0	4
206	0	1137
207	0	192
208	0	418
209	0	43
210	0	3
211	0	3
222	0	217
223	0	578
224	0	597
225	0	125
226	0	11
227	0	9
230	0	5
231	0	3
232	0	16
233	0	4
236	0	1
238	0	83
239	0	2
240	0	23
243	0	1
246	0	7
247	0	7
254	0	1
256	0	2
261	0	16
270	0	168
271	0	85
272	0	175
273	0	7
274	0	22
275	0	25
276	0	12
280	0	17
281	0	18
286	0	107
287	0	139
288	0	439
289	0	65
290	0	6
291	0	149
293	0	4
294	0	49
295	0	49
296	0	53
297	0	54
299	0	1
301	0	2
302	0	3
303	0	13
304	0	33
318	0	1
319	0	27
320	0	25
322	0	16
323	0	4
324	0	5
325	0	6
326	0	64
327	0	64
328	0	120
329	0	110
331	0	1
333	0	3
334	0	83
335	0	15
338	0	14
340	0	6
349	0	1
350	0	16
354	0	5
357	0	28
358	0	27
360	0	1
373	0	12
374	0	12
392	0	1
401	0	12
402	0	10
403	0	5
405	0	1
407	0	7
408	0	9
409	0	8
410	0	8
412	0	2
413	0	5
414	0	3
415	12	734
416	0	487
418	12	467
419	8	372
420	8	340
421	8	242
422	8	215
423	8	199
424	8	186
425	8	153
426	8	57
427	4	5
434	4	1445
435	4	912
436	4	669
437	4	304
438	4	234
439	4	230
440	4	173
441	4	319
442	4	100
443	4	7
452	4	517
453	0	66
454	4	217
455	4	200
456	0	428
457	0	1181
458	4	221
459	0	2
460	8	751
461	0	3
471	4	1895
472	4	13
474	0	80
475	0	25
476	0	60
477	0	60
478	4	276
479	8	4
480	0	256
482	0	2529
501	0	242
502	0	882
503	0	508
504	0	29
505	0	4
506	0	4
509	0	2
510	0	2
511	0	1
512	0	1
517	0	14
523	0	141
525	0	45
545	0	220
546	0	1
547	0	12
549	0	5
550	0	4
553	0	4
554	0	4
555	0	2
556	0	2
567	0	25
569	0	1
589	0	59
590	0	7
591	0	66
599	0	7
600	0	7
611	0	36
612	0	50
613	0	2
615	0	42
616	0	40
617	0	1
618	0	3
634	0	5
637	0	38
638	0	35
662	0	6
677	0	403
678	0	497
679	0	230
680	0	12
681	0	5
682	0	4
685	0	2
686	0	2
687	0	1
688	0	1
699	0	89
721	0	162
722	0	6
723	0	24
725	0	5
726	0	8
729	0	2
730	0	2
731	0	2
732	0	2
743	0	7
744	0	3
745	0	1
765	0	35
766	0	12
767	0	69
768	0	2
771	0	3
773	0	12
775	0	2
776	0	2
782	0	2
788	0	17
791	0	7
792	0	2
794	0	5
810	0	4
838	0	3
853	0	10
854	0	302
855	0	68
856	0	32
897	0	15
899	0	9
902	0	2
941	0	71
942	0	13
943	0	21
957	0	3
964	0	1
986	0	1
1031	0	100
1075	0	20
1119	0	31
1127	0	1
1128	0	1
1205	0	15
1206	0	9
1209	0	4
1217	0	3
1218	0	3
1219	0	3
1220	0	3
1221	0	1
1224	0	1
1230	0	942
1233	4	1584
1234	4	155
1236	12	1561
1238	4	75
1240	4	22
1242	0	38
1243	4	25
1244	4	206
1245	4	245
1247	0	45
1248	4	3
1249	0	278
1250	0	286
1251	4	200
1252	16	352
1253	4	65
1254	4	109
1255	8	517
1256	8	56
1257	8	158
1258	8	125
1259	8	106
1260	8	108
1261	8	110
1262	8	69
1263	8	42
1264	8	34
1265	8	34
1266	8	16
1267	8	8
1268	8	5
1269	8	4
1270	8	4
1271	8	2
1287	8	135
1288	4	100
1289	4	186
1290	8	1
1291	8	3
1292	8	2
1293	8	6
1294	8	5
1295	8	6
1296	8	8
1297	8	5
1298	8	3
1299	8	3
1300	8	3
1301	8	3
1302	8	2
1303	8	1
1305	4	7
1308	4	24
1310	4	135
1311	8	663
1312	0	634
1313	4	1209
1314	4	2748
1315	4	5
1316	4	58
1318	4	60
1319	4	34
1320	4	2
1322	4	54
1324	12	22
1325	12	29
1326	12	2
1327	12	18
1329	4	2
1331	8	3
1334	8	96
1335	8	18
1336	8	10
1337	8	7
1338	12	8
1339	8	5
1341	12	1
1342	12	3
1343	8	12
1344	8	5
1345	8	15
1346	8	21
1347	8	1
1348	8	2
1349	8	3
1350	8	2
1351	8	1
1352	8	15
1353	8	4
1354	8	6
1355	8	11
1357	8	2
1358	8	2
1360	0	1
1364	4	20342
1365	0	101
1366	0	101
1367	0	573
1368	0	573
1369	4	97
1373	0	3
1374	0	1856
1376	0	21
1377	0	2365
1378	0	41
1379	0	554
1380	0	34
1381	0	19
1382	0	91
1383	0	501
1384	0	1
1385	0	152
1387	0	61
1388	0	15
1389	0	29
1390	0	56
1391	0	81
1393	0	77
1394	0	1
1397	0	2
1398	0	2476
1399	0	324
1400	0	8
1401	0	117
1402	0	298
1403	0	568
1404	0	57
1405	0	32
1406	0	121
1407	0	24
1408	0	3
1409	0	11
1410	0	8
1411	0	170
1413	0	68
1415	0	8
1416	0	27
1417	0	2
1418	0	5
1420	0	13
1421	0	21
1422	0	87
1423	0	19
1424	0	30
1425	0	76
1426	0	45
1427	0	10
1428	0	22
1429	0	104
1430	0	1
1431	0	5
1432	0	8
1433	0	2
1435	0	6
1436	0	6
1437	0	140
1438	0	12
1439	0	101
1440	0	378
1441	0	625
1442	0	5
1443	0	42
1445	0	3
1446	0	74
1448	0	1
1449	0	128
1450	0	725
1451	0	212
1453	0	74
1454	0	3
1455	0	713
1456	0	605
1457	0	105
1458	0	24
1459	0	4
1460	0	1
1461	0	24
1462	0	5
1463	0	39
1464	0	9
1465	0	41
1466	0	7
1467	0	23
1468	0	282
1469	0	1
1470	0	122
1471	0	18
1472	0	216
1473	0	620
1474	0	777
1475	0	16
1476	0	8
1477	0	5
1478	0	23
1479	0	22
1480	0	2
1481	0	27
1482	0	46
1483	0	67
1484	0	225
1485	0	586
1486	0	1
1487	0	17
1488	0	26
1489	0	403
1490	0	66
1492	0	4
1493	0	344
1494	0	86
1495	0	84
1496	0	146
1497	0	6
1498	0	36
1499	0	64
1500	0	27
1502	0	9
1503	0	60
1504	0	1
1505	0	941
1506	0	232
1507	0	2
1508	0	489
1509	0	140
1510	0	1
1521	0	4
1792	0	4
4096	0	45
4352	0	32
4608	0	36
4864	0	3
5120	0	1
5376	0	4
5888	0	8
6144	0	1
7936	0	4
9984	0	3
10240	0	4
11264	0	3
11776	0	1
12032	0	2
12288	0	2
12544	0	2
13056	0	1
13312	0	2
13568	0	1
13824	0	1
14080	0	1
14336	0	2
14592	0	1
14848	0	1
15104	0	1
15360	0	1
15616	0	1
15872	0	1
16128	0	1
16384	0	2
16640	0	4
16896	0	2
29696	0	3
32768	0	2
33024	0	3
40960	0	2
41216	0	3
41472	0	9
41728	0	9
42240	0	1
42496	0	1
43008	0	16
46080	0	1
55296	0	1
55552	0	3
55808	0	1
56064	0	5
56320	0	1
56576	0	1
56832	0	1
57088	0	1
57344	0	1
57600	0	1
58112	0	1
58368	0	1
58624	0	1
58880	0	1
63488	0	9
63744	0	4
