offset	cap	kind	jp	ko
36	5	text	幽州	유주
53	5	text	冀州	기주
70	5	text	青州	청주
87	5	text	州	병주
104	5	text	徐州	서주
121	5	text	州	연주
138	5	text	豫州	예주
155	5	text	司隷	사예
172	5	text	雍州	옹주
189	5	text	涼州	양주
206	5	text	益州	익주
223	5	text	南中	남중
240	5	text	荊北	형북
257	5	text	荊南	형남
274	5	text	淮南	회남
291	5	text	揚州	양주
308	7	text	楽浪	낙랑
317	7	text	楽浪	낙랑
326	7	text	楽浪	낙랑
335	7	text	襄平	양평
344	7	text	白狼山	백랑산
353	7	text	北平	북평
362	7	text	易京	역경
371	7	text	易京	역경
380	7	text	薊	계
389	7	text	薊	계
398	7	text	薊	계
407	7	text	南皮	남피
416	7	text	南皮	남피
425	7	text	南皮	남피
434	7	text	南皮	남피
443	7	text	南皮	남피
452	7	text	界橋	계교
461	7	text	界橋	계교
497	7	text	平原	평원
506	7	text	平原	평원
515	7	text	平原	평원
524	7	text	北海	북해
533	7	text	北海	북해
542	7	text	北海	북해
551	7	text	北海	북해
560	7	text	城陽	성양
569	7	text	城陽	성양
578	7	text	城陽	성양
587	7	text	城陽	성양
596	7	text	晋陽	진양
605	7	text	晋陽	진양
614	7	text	晋陽	진양
623	7	text	上党	상당
632	7	text	壺関	호관
641	7	text	下	하비
650	7	text	下	하비
659	7	text	下	하비
668	7	text	淮陰	회음
677	7	text	小沛	소패
686	7	text	小沛	소패
695	7	text	小沛	소패
704	7	text	小沛	소패
713	7	text	白馬	백마
722	7	text	濮陽	복양
731	7	text	定陶	정도
740	7	text	定陶	정도
749	7	text	官渡	관도
758	7	text	陳留	진류
767	7	text	陳留	진류
776	7	text	陳留	진류
785	7	text	陳留	진류
794	7	text	許昌	허창
803	7	text	許昌	허창
812	7	text	許昌	허창
821	7	text	許昌	허창
830	7	text	許昌	허창
875	7	text	汝南	여남
884	7	text	汝南	여남
893	7	text	汝南	여남
902	7	text	汝南	여남
911	7	text	河内	하내
920	7	text	河内	하내
929	7	text	虎牢関	호뢰관
938	7	text	虎牢関	호뢰관
947	7	text	虎牢関	호뢰관
956	7	text	函谷関	함곡관
965	7	text	虎牢関	호뢰관
974	7	text	弘農	홍농
983	7	text	弘農	홍농
992	7	text	潼関	동관
1001	7	text	長安	장안
1010	7	text	五丈原	오장원
1019	7	text	武関	무관
1028	7	text	天水	천수
1037	7	text	天水	천수
1046	7	text	祁山	기산
1055	7	text	安定	안정
1064	7	text	街亭	가정
1073	7	text	安定	안정
1082	7	text	武威	무위
1091	7	text	武威	무위
1100	7	text	狄道	적도
1109	7	text	西平	서평
1118	7	text	武都	무도
1127	7	text	武都	무도
1136	7	text	武都	무도
1145	7	text	斜谷関	사곡관
1154	7	text	陽平関	양평관
1163	7	text	陽平関	양평관
1172	7	text	漢中	한중
1181	7	text	剣閣	검각
1190	7	text	剣閣	검각
1199	7	text	綿竹関	면죽관
1208	7	text	梓潼	재동
1217	7	text	成都	성도
1226	7	text	成都	성도
1235	7	text	成都	성도
1244	7	text	江州	강주
1253	7	text	江州	강주
1262	7	text	江州	강주
1271	7	text	江州	강주
1280	7	text	永安	영안
1289	7	text	永安	영안
1298	7	text	永安	영안
1307	7	text	建寧	건녕
1316	7	text	建寧	건녕
1325	7	text	雲南	운남
1334	7	text	雲南	운남
1343	7	text	雲南	운남
1352	7	text	雲南	운남
1361	7	text	永昌	영창
1370	7	text	宛	완
1379	7	text	宛	완
1388	7	text	宛	완
1397	7	text	宛	완
1406	7	text	博望	박망
1415	7	text	博望	박망
1424	7	text	新野	신야
1433	7	text	新野	신야
1442	7	text	襄陽	양양
1451	7	text	襄陽	양양
1460	7	text	襄陽	양양
1469	7	text	襄陽	양양
1478	7	text	江夏	강하
1487	7	text	江夏	강하
1496	7	text	江夏	강하
1505	7	text	西塞山	서새산
1514	7	text	西塞山	서새산
1523	7	text	上庸	상용
1532	7	text	上庸	상용
1541	7	text	夷陵	이릉
1550	7	text	長坂坡	장판파
1559	7	text	江陵	강릉
1568	7	text	江陵	강릉
1577	7	text	夷陵	이릉
1586	7	text	江陵	강릉
1595	7	text	長沙	장사
1604	7	text	長沙	장사
1613	7	text	長沙	장사
1622	7	text	長沙	장사
1631	7	text	零陵	영릉
1640	7	text	零陵	영릉
1649	7	text	武陵	무릉
1658	7	text	武陵	무릉
1667	7	text	武陵	무릉
1676	7	text	武陵	무릉
1685	7	text	桂陽	계양
1694	7	text	桂陽	계양
1703	7	text	桂陽	계양
1712	7	text	寿春	수춘
1721	7	text	寿春	수춘
1730	7	text	寿春	수춘
1739	7	text	合肥	합비
1748	7	text	合肥	합비
1757	7	text	廬江	여강
1766	7	text	廬江	여강
1775	7	text	廬江	여강
1784	7	text	廬江	여강
1793	7	text	建業	건업
1802	7	text	濡須	유수
1811	7	text	濡須	유수
1820	7	text	建業	건업
1829	7	text	建業	건업
1838	7	text	呉	오
1847	7	text	呉	오
1856	7	text	呉	오
1865	7	text	呉	오
1874	7	text	会稽	회계
1883	7	text	会稽	회계
1892	7	text	会稽	회계
1901	8	text	赤壁	적벽
1910	8	text	赤壁	적벽
1919	7	text	柴桑	시상
1928	7	text	柴桑	시상
1937	7	text	柴桑	시상
1946	7	text	柴桑	시상
1955	7	text	建安	건안
1964	7	text	建安	건안
1973	7	text	建安	건안
1982	7	text	南海	남해
1991	7	text	南海	남해
2000	7	text	南海	남해
2009	7	text	南海	남해
2018	7	text	交趾	교지
2027	9	text	なし	없음
2036	5	text	遼東	요동
2041	8	yomi	ﾘｮｳﾄｳ	<빈칸>
2052	5	text	北平	북평
2057	8	yomi	ﾎｸﾍｲ	<빈칸>
2068	5	text	薊	계
2073	8	yomi	ｹｲ	<빈칸>
2084	5	text	渤海	발해
2089	7	yomi	ﾎﾞｯｶｲ	<빈칸>
2100	5	text	平原	평원
2105	7	yomi	ﾍｲｹﾞﾝ	<빈칸>
2119	9	yomi	  ｷﾞｮｳ	<빈칸>
2137	7	yomi	ｼﾝﾖｳ	<빈칸>
2148	5	text	上党	상당
2153	7	yomi	ｼﾞｮｳﾄｳ	<빈칸>
2166	3	text	南	남
2169	7	yomi	ｾｲﾅﾝ	<빈칸>
2185	7	yomi	ﾎｯｶｲ	<빈칸>
2201	7	yomi	ﾎﾞｸﾖｳ	<빈칸>
2217	7	yomi	ﾁﾝﾘｭｳ	<빈칸>
2233	7	yomi	ｶﾋ	<빈칸>
2249	7	yomi	ｼｮｳﾊｲ	<빈칸>
2265	7	yomi	ｼｮｳ	<빈칸>
2281	7	yomi	ｷｮｼｮｳ	<빈칸>
2297	7	yomi	ｼﾞｮﾅﾝ	<빈칸>
2313	7	yomi	ﾗｸﾖｳ	<빈칸>
2329	7	yomi	ｺｳﾉｳ	<빈칸>
2345	7	yomi	ﾁｮｳｱﾝ	<빈칸>
2361	7	yomi	ﾃﾝｽｲ	<빈칸>
2377	7	yomi	ｾｲﾍｲ	<빈칸>
2393	7	yomi	ｾｲﾘｮｳ	<빈칸>
