offset	cap	jp	ko
4661360	31	数を入力してください	수를 입력해 주십시오
5113888	8	攻撃	공격
5113896	8	守備	수비
5171064	20	囮劔劔ｹ?囮劔劔ｹ?	
5176616	8	番号	번호
5176624	8	州	주
5176632	8	ﾙﾋﾞ	읽기
5176640	8	都市	도시
5176648	8	象兵	상병
5176656	8	山騎	산기
5176664	8	楼船	누선
5176672	8	台風	태풍
5176680	8	大雪	대설
5176688	8	金	금
5176696	8	兵糧	병량
5176704	8	兵士	병사
5176712	8	武将	무장
5176720	8	放浪軍	방랑군
5176728	8	ﾃﾞｰﾀ	데이터
5176800	16	、	,
5177312	8	番号	번호
5177320	8	都市	도시
5177328	8	ﾙﾋﾞ	읽기
5177336	8	勢力	세력
5177344	8	軍団	군단
5177352	8	規模	규모
5177360	8	特徴	특징
5177368	8	都督	도독
5177376	8	太守	태수
5177384	8	軍師	군사
5177392	8	身分	신분
5177400	8	武将	무장
5177408	8	在野	재야
5177416	8	放浪軍	방랑군
5177424	8	賊	적
5177432	8	洪水	홍수
5177440	8	台風	태풍
5177448	8	豊作	풍작
5177456	8	大雪	대설
5177464	8	いなご	메뚜기
5177472	8	疫病	역병
5177480	16	常駐商人	상주상인
5177496	8	州	주
5177504	16	隣接都市	인접도시
5177520	16	隣接種類	인접종류
5177536	8	前線	전선
5177544	8	攻略	공략
5177552	16	諜報残月	첩보잔월
5177568	8	農村	농촌
5177576	8	市場	시장
5177584	8	屯所	둔소
5177592	8	工房	공방
5177600	8	城門	성문
5177608	8	兵舎	병영
5177616	8	金	금
5177624	8	兵糧	병량
5177632	8	金収支	금수지
5177640	16	兵糧収支	병량수지
5177656	8	金収入	금수입
5177664	16	兵糧収入	병량수입
5177680	8	金支出	금지출
5177688	16	兵糧支出	병량지출
5177704	8	人口	인구
5177712	8	兵士	병사
5177720	8	開発	개발
5177728	16	開発上限	개발상한
5177744	16	開発／開発上限	개발/개발상한
5177760	8	商業	상업
5177768	16	商業上限	상업상한
5177784	16	商業／商業上限	상업/상업상한
5177800	8	防御	방어
5177808	16	防御上限	방어상한
5177824	16	防御／防御上限	방어/방어상한
5177840	8	技術	기술
5177848	16	技術上限	기술상한
5177864	16	技術／技術上限	기술/기술상한
5177880	8	治安	치안
5177888	16	治安／治安上限	치안/치안상한
5177904	8	技術Lv	기술Lv
5177912	8	ｱｲﾃﾑ	아이템
5177920	8	商人	상인
5177928	8	方針	방침
5177936	16	方針残月	방침잔월
5177952	16	開発目標	개발목표
5177968	16	商業目標	상업목표
5177984	16	技術目標	기술목표
5178000	16	防御目標	방어목표
5178016	8	攻込先	공격처
5178024	8	輸送先	수송처
5178032	8	輸送金	수송금
5178040	8	目標	목표
5178048	16	目標残量	목표잔량
5178064	8	隣接	인접
5178072	8	友好	우호
5178080	16	内通武将	내통무장
5178096	16	埋伏武将	매복무장
5178112	8	委任	위임
5178120	16	戦争重視	전쟁중시
5178136	16	内政重視	내정중시
5178152	16	輸送重視	수송중시
5178168	8	農耕	농경
5178176	8	城塞	성새
5178184	8	放牧	방목
5178192	8	通常	통상
5178200	8	山岳	산악
5178208	8	河川	하천
5178216	8	海上	해상
5178224	8	桟道	잔도
5178232	8	小	소
5178240	8	中	중
5178248	8	大	대
5178256	8	建業	건업
5178264	8	ｹﾝｷﾞｮｳ	건업
5179128	8	所属	소속
5179136	8	状態	상태
5179144	8	経済	경제
5179152	8	内政	내정
5179160	8	方針	방침
5179168	8	災害	재해
5179176	8	個人	개인
5179184	16	都市選択	도시선택
5179200	16	地図	지도
5179336	16	都市一覧	도시일람
5179400	8	実行	실행
5179408	21	中止	중지
5179512	16	第一軍団	제1군단
5179528	16	第二軍団	제2군단
5179544	16	第三軍団	제3군단
5179560	16	第四軍団	제4군단
5179576	16	第五軍団	제5군단
5179592	16	第六軍団	제6군단
5179608	16	第七軍団	제7군단
5179624	16	第八軍団	제8군단
5179640	8	第一	제1
5179648	8	第二	제2
5179656	8	第三	제3
5179664	8	第四	제4
5179672	8	第五	제5
5179680	8	第六	제6
5179688	8	第七	제7
5179696	8	第八	제8
5179704	8	委任	위임
5179712	8	州制覇	주제패
5179720	16	勢力打倒	세력타도
5179736	8	番号	번호
5179744	8	軍団	군단
5179752	8	勢力	세력
5179760	8	都督	도독
5179768	8	軍師	군사
5179776	8	本拠	본거
5179784	8	都市	도시
5179792	8	方針	방침
5179800	8	目標	목표
5179808	8	武将	무장
5179816	8	金	금
5179824	8	兵糧	병량
5179832	8	兵士	병사
