group	limit	raw_max
0	24	16
1	44	44
2	36	36
3	30	30
4	40	40
5	34	34
6	28	28
7	32	32
8	40	40
9	38	38
10	32	32
11	34	34
12	33	33
13	26	26
14	28	28
15	27	27
16	26	26
17	28	28
18	26	26
19	26	26
20	26	26
21	32	32
22	30	30
23	29	29
24	40	40
25	27	27
26	27	27
27	29	29
28	28	28
29	34	34
30	28	28
31	32	32
32	28	28
33	28	28
34	30	30
35	28	28
36	36	36
37	40	40
38	28	28
39	32	32
40	36	36
41	28	28
42	28	28
43	28	28
44	24	22
45	38	38
46	62	62
47	26	26
48	38	38
49	24	20
50	36	36
51	36	36
52	36	36
53	36	36
54	38	38
55	38	38
56	40	40
57	38	38
58	36	36
59	38	38
60	38	38
61	38	38
62	40	40
63	40	40
64	40	40
65	36	36
66	40	40
67	40	40
68	38	38
69	40	40
70	38	38
71	40	40
72	38	38
73	36	36
74	36	36
75	38	38
76	38	38
77	38	38
78	38	38
79	40	40
80	40	40
81	38	38
82	38	38
83	38	38
84	36	36
85	38	38
86	38	38
87	38	38
88	36	36
89	36	36
90	38	38
91	38	38
92	38	38
93	38	38
94	38	38
95	38	38
96	38	38
97	38	38
98	38	38
99	38	38
100	38	38
101	38	38
102	38	38
103	38	38
104	38	38
105	40	40
106	38	38
107	38	38
108	28	28
109	40	40
110	38	38
111	26	26
112	28	28
113	32	32
114	34	34
115	26	26
116	34	34
117	31	31
118	26	26
119	26	26
120	26	26
121	28	28
122	36	36
123	26	26
124	26	26
125	28	28
126	28	28
127	28	28
128	30	30
129	24	16
130	24	16
131	28	28
132	26	26
133	34	34
134	36	36
135	30	30
136	36	36
137	38	38
138	34	34
139	28	28
140	26	26
141	26	26
142	28	28
143	26	26
144	27	27
145	36	36
146	28	28
147	26	26
148	28	28
149	32	32
150	26	26
151	32	32
152	34	34
153	28	28
154	30	30
155	38	38
156	34	34
157	31	31
158	34	34
159	34	34
160	34	34
161	28	28
162	36	36
163	32	32
164	32	32
165	26	26
166	36	36
167	36	36
168	32	32
169	36	36
170	28	28
171	28	28
172	28	28
173	38	38
174	32	32
175	28	28
176	32	32
177	29	29
178	28	28
179	26	26
180	26	26
181	26	26
182	28	28
183	26	26
184	26	26
185	26	26
186	30	30
187	36	36
188	38	38
189	40	40
190	34	34
191	30	30
192	30	30
193	30	30
194	36	36
195	36	36
196	38	38
197	34	34
198	28	28
199	34	34
200	34	34
201	24	24
202	30	30
203	27	27
204	36	36
205	36	36
206	33	33
207	34	34
208	30	30
209	30	30
210	32	32
211	26	26
212	32	32
213	38	38
214	36	36
215	32	32
216	34	34
217	38	38
218	34	34
219	36	36
220	34	34
221	34	34
222	30	30
223	36	36
224	32	32
225	30	30
226	32	32
227	34	34
228	30	30
229	29	29
230	30	30
231	38	38
232	28	28
233	30	30
234	34	34
235	38	38
236	29	29
237	32	32
238	34	34
239	34	34
240	32	32
241	38	38
242	38	38
243	38	38
244	34	34
245	28	28
246	30	30
247	28	28
248	24	24
249	36	36
250	50	50
251	48	48
252	36	36
253	26	26
254	26	26
255	36	36
256	40	40
257	40	40
258	40	40
259	36	36
260	44	44
261	24	22
262	36	36
263	48	48
264	68	68
265	40	40
266	40	40
267	40	40
268	40	40
269	42	42
270	36	36
271	40	40
272	40	40
273	32	32
274	28	28
275	28	28
276	34	34
277	34	34
278	36	36
279	32	32
280	30	30
281	34	34
282	34	34
283	32	32
284	30	30
285	30	30
286	34	34
287	32	32
288	32	32
289	32	32
290	32	32
291	32	32
292	32	32
293	32	32
294	32	32
295	34	34
296	34	34
297	34	34
298	34	34
299	34	34
300	26	26
301	40	40
302	40	40
303	28	28
304	30	30
305	30	30
306	30	30
