idx	code	slot	cond	jp	ko
0	055A	0	{0026:5}{00CE}	N	N
0	055A	1	{0036}{0026:1204}{0554:1}	祝融	축융
0	055A	2	{0554:0}	夫人	부인
0	055A	3	{0036}{0026:30}{00CE}	N	N
0	055A	4		様	 님
0	055A	5	{0036}{00CE}	N	N
0	055A	6		殿	 님
1	055B	0	{0026:500}{0026:510}{0026:6}	息子	아들
1	055B	1	{0036}	娘	딸
1	055B	2	{0034:6}	父	아버지
1	055B	3	{0036}	母	어머니
1	055B	4	{0036}{0026:501}{0026:510}{0026:6}	弟	아우
1	055B	5	{0036}	妹	누이
1	055B	6	{0034:6}	兄	형
1	055B	7	{0036}	姉	누나
2	055C	0	{0026:511}{0035}{008E}	N	N
2	055C	1		の	의
3	055D	0	{0026:1339}	すまねぇ	미안하다
3	055D	1	{0036}{0026:500}{0026:510}{0026:6}	すまぬ	미안하네
3	055D	2	{0036}	すみません	죄송합니다
3	055D	3	{0036}	申し訳ありません	송구합니다
3	055D	4	{0036}{0026:501}{0026:510}{0026:6}	すまぬ	미안하네
3	055D	5	{0036}	すみません	죄송합니다
3	055D	6	{0036}	申し訳ありません	송구합니다
3	055D	7	{0036}{0026:7}{0026:30}	すみません	죄송합니다
3	055D	8	{0036}	申し訳ありません	송구합니다
3	055D	9	{0036}{0026:512}{0026:30}	すまぬ	미안하네
3	055D	10	{0036}{0026:130}	申し訳ありません	송구합니다
3	055D	11	{0036}{0026:514}	申し訳ありません	송구합니다
3	055D	12	{0036}{0036}	すまぬ	미안하네
4	055E	0	{0026:10604}{0026:1339}{0026:130}{0026:2493}	おれ	나
4	055E	1	{0035}	それがし	소장
4	055E	2	{0036}{0036}	おれ	나
4	055E	3	{0034:1080}{0026:130}	それがし	소장
4	055E	4	{0036}	わし	나
4	055E	5	{0034:1515}{0026:513}{0026:510}	おれ	나
4	055E	6	{0035}	それがし	소장
4	055E	7	{0036}{0036}{0026:530}{0026:510}	おれ	나
4	055E	8	{0035}	それがし	소장
4	055E	9	{0036}{0036}{0026:130}	それがし	소장
4	055E	10	{0036}{0026:512}{0026:30}	おれ	나
4	055E	11	{0036}{0026:130}	それがし	소장
4	055E	12	{0036}{0026:514}	それがし	소장
4	055E	13	{0036}{0036}	おれ	나
4	055E	14	{0036}{0036}{0026:7}{0026:31}	わらわ	나
4	055E	15	{0034:30}	わたし	저
4	055E	16	{0036}	わたし	저
4	055E	17	{0035}{0026:31}	朕	짐
4	055E	18	{0034:30}{0026:94}{0026:99}	わし	나
4	055E	19	{0036}{0036}	私	저
4	055E	20	{0034:15}{0026:513}{0026:510}	私	저
4	055E	21	{0035}	それがし	소장
4	055E	22	{0036}{0035}	それがし	소장
4	055E	23	{0036}{0034:16}{0026:513}{0026:510}	私	저
4	055E	24	{0035}	それがし	소장
4	055E	25	{0036}{0035}	それがし	소장
4	055E	26	{0036}{0036}{0036}	私	저
5	055F	0	{0026:10604}{0026:1080}	わし	나
5	055F	1	{0034:1339}	おれ	나
5	055F	2	{0034:1515}	おれ	나
5	055F	3	{0036}{0036}{0026:7}	わたし	저
5	055F	4	{0036}{0026:30}{0026:94}{0026:99}	わし	나
5	055F	5	{0036}{0036}	私	저
5	055F	6	{0036}	私	저
6	0560	0	{0026:10604}{0026:1339}{0026:130}{0026:2493}	おれたち	우리
6	0560	1	{0035}	我ら	우리
6	0560	2	{0036}{0036}	おれたち	우리
6	0560	3	{0036}{0036}{0026:7}{0026:31}	わらわたち	우리
6	0560	4	{0034:30}	わたしたち	저희
6	0560	5	{0036}	わたしたち	저희
6	0560	6	{0035}{0026:31}	朕ら	우리
6	0560	7	{0036}{0036}	我ら	우리
7	0561	0	{0026:500}{0026:510}{00CF}	N	N
7	0561	1	{0035}{0026:106}	父上	아버님
7	0561	2	{0036}	母上	어머님
7	0561	3	{0036}{0036}{0026:501}{0026:528}{00CF}	N	N
7	0561	4	{0036}{0026:510}{00CF}	N	N
7	0561	5	{0035}{0026:106}	兄上	형님
7	0561	6	{0036}	姉上	누님
7	0561	7	{0036}{0036}{0026:513}{0026:510}{00CF}	N	N
7	0561	8	{0035}{00CF}	N	N
7	0561	9		殿	 님
7	0561	10	{0036}{0036}{0026:10604}{0026:1339}{0026:2493}	兄者	형님
7	0561	11	{0034:2080}	兄貴	형님
7	0561	12	{0036}{0034:1080}{0026:2493}	兄者	형님
7	0561	13	{0036}{0034:1292}{0026:2201}{0026:130}{0554:1}	公瑾	공근
7	0561	14	{0554:0}	殿	주공
7	0561	15	{0035}{0554:1}	公瑾	공근
7	0561	16	{0554:0}{0036}{0036}{0034:1201}{0026:2292}{0026:130}{0554:1}	伯符	백부
7	0561	17	{0554:0}	殿	주공
7	0561	18	{0035}{0554:1}	伯符	백부
7	0561	19	{0554:0}{0036}{0036}{0034:1493}{0026:2233}{0554:1}	孔明	공명
7	0561	20	{0554:0}{0036}{0036}{0036}{0026:526}{0026:106}{0026:1339}	兄者	형님
7	0561	21	{0034:1080}	兄者	형님
7	0561	22	{0035}	義兄上	매형
7	0561	23	{0036}{0035}{0026:1339}	姉者	누님
7	0561	24	{0034:1080}	姉者	누님
7	0561	25	{0035}	義姉上	형수님
7	0561	26	{0036}{0036}{0036}{0026:527}{00CF}	N	N
7	0561	27	{0036}{0026:512}{0026:131}	陛下	폐하
7	0561	28	{0034:130}{0026:10604}{0026:2346}	張師君	장 사군
7	0561	29	{0034:2529}	大賢良師様	대현량사님
7	0561	30	{0034:2531}	地公将軍様	지공장군님
7	0561	31	{0034:2530}	人公将軍様	인공장군님
7	0561	32	{0034:2448}	大王様	대왕님
7	0561	33	{0035}{00CF}	N	N
7	0561	34		様	 님
7	0561	35	{0036}{0036}{00CF}	N	N
7	0561	36		様	 님
7	0561	37	{0036}{0026:514}{00CF}	N	N
7	0561	38		殿	 님
7	0561	39	{0035}{00CF}	N	N
7	0561	40	{0036}{0034:130}{00CF}	N	N
7	0561	41		殿	 님
7	0561	42	{0036}{00CF}	N	N
7	0561	43		殿	 님
8	0562	0	{0026:500}{0026:510}{00CF}	N	N
8	0562	1	{0035}{0026:106}	父上	아버님
8	0562	2	{0036}	母上	어머님
8	0562	3	{0036}{0036}{0026:501}{0026:528}{00CF}	N	N
8	0562	4	{0036}{0026:510}{00CF}	N	N
8	0562	5	{0035}{0026:106}	兄上	형님
8	0562	6	{0036}	姉上	누님
8	0562	7	{0036}{0036}{0026:513}{0026:510}{00CF}	N	N
8	0562	8	{0035}{00CF}	N	N
8	0562	9		殿	 님
8	0562	10	{0036}{0036}{0026:10604}{0026:1339}{0026:2493}	兄者	형님
8	0562	11	{0034:2080}	兄貴	형님
8	0562	12	{0036}{0034:1080}{0026:2493}	兄者	형님
8	0562	13	{0036}{0034:1292}{0026:2201}{0026:130}{0554:1}	公瑾	공근
8	0562	14	{0554:0}	殿	주공
8	0562	15	{0035}{0554:1}	公瑾	공근
8	0562	16	{0554:0}{0036}{0036}{0034:1201}{0026:2292}{0026:130}{0554:1}	伯符	백부
8	0562	17	{0554:0}	殿	주공
8	0562	18	{0035}{0554:1}	伯符	백부
8	0562	19	{0554:0}{0036}{0036}{0034:1493}{0026:2233}{0554:1}	孔明	공명
8	0562	20	{0554:0}{0036}{0036}{0036}{0026:526}{0026:106}{0026:1339}	兄者	형님
8	0562	21	{0034:1080}	兄者	형님
8	0562	22	{0035}	義兄上	매형
8	0562	23	{0036}{0035}{0026:1339}	姉者	누님
8	0562	24	{0034:1080}	姉者	누님
8	0562	25	{0035}	義姉上	형수님
8	0562	26	{0036}{0036}{0036}{0026:527}{00CF}	N	N
8	0562	27	{0036}{0026:512}{0026:130}{00CF}	N	N
8	0562	28		様	 님
8	0562	29	{0036}{00CF}	N	N
8	0562	30		殿	 님
8	0562	31	{0034:130}{00CF}	N	N
8	0562	32		殿	 님
8	0562	33	{0036}{00CF}	N	N
8	0562	34		殿	 님
9	0563	0	{0026:500}{0026:510}	そなた	그대
