idx	code	slot	cond	jp	ko
0	055A	0	{0026:5}{00CE}	N	
0	055A	1	{0036}{0026:1204}{0554:1}	祝融	
0	055A	2	{0554:0}	夫人	
0	055A	3	{0036}{0026:30}{00CE}	N	
0	055A	4		様	
0	055A	5	{0036}{00CE}	N	
0	055A	6		殿	
1	055B	0	{0026:500}{0026:510}{0026:6}	息子	
1	055B	1	{0036}	娘	
1	055B	2	{0034:6}	父	
1	055B	3	{0036}	母	
1	055B	4	{0036}{0026:501}{0026:510}{0026:6}	弟	
1	055B	5	{0036}	妹	
1	055B	6	{0034:6}	兄	
1	055B	7	{0036}	姉	
2	055C	0	{0026:511}{0035}{008E}	N	
2	055C	1		の	
3	055D	0	{0026:1339}	すまねぇ	
3	055D	1	{0036}{0026:500}{0026:510}{0026:6}	すまぬ	
3	055D	2	{0036}	すみません	
3	055D	3	{0036}	申し訳ありません	
3	055D	4	{0036}{0026:501}{0026:510}{0026:6}	すまぬ	
3	055D	5	{0036}	すみません	
3	055D	6	{0036}	申し訳ありません	
3	055D	7	{0036}{0026:7}{0026:30}	すみません	
3	055D	8	{0036}	申し訳ありません	
3	055D	9	{0036}{0026:512}{0026:30}	すまぬ	
3	055D	10	{0036}{0026:130}	申し訳ありません	
3	055D	11	{0036}{0026:514}	申し訳ありません	
3	055D	12	{0036}{0036}	すまぬ	
4	055E	0	{0026:10604}{0026:1339}{0026:130}{0026:2493}	おれ	
4	055E	1	{0035}	それがし	
4	055E	2	{0036}{0036}	おれ	
4	055E	3	{0034:1080}{0026:130}	それがし	
4	055E	4	{0036}	わし	
4	055E	5	{0034:1515}{0026:513}{0026:510}	おれ	
4	055E	6	{0035}	それがし	
4	055E	7	{0036}{0036}{0026:530}{0026:510}	おれ	
4	055E	8	{0035}	それがし	
4	055E	9	{0036}{0036}{0026:130}	それがし	
4	055E	10	{0036}{0026:512}{0026:30}	おれ	
4	055E	11	{0036}{0026:130}	それがし	
4	055E	12	{0036}{0026:514}	それがし	
4	055E	13	{0036}{0036}	おれ	
4	055E	14	{0036}{0036}{0026:7}{0026:31}	わらわ	
4	055E	15	{0034:30}	わたし	
4	055E	16	{0036}	わたし	
4	055E	17	{0035}{0026:31}	朕	
4	055E	18	{0034:30}{0026:94}{0026:99}	わし	
4	055E	19	{0036}{0036}	私	
4	055E	20	{0034:15}{0026:513}{0026:510}	私	
4	055E	21	{0035}	それがし	
4	055E	22	{0036}{0035}	それがし	
4	055E	23	{0036}{0034:16}{0026:513}{0026:510}	私	
4	055E	24	{0035}	それがし	
4	055E	25	{0036}{0035}	それがし	
4	055E	26	{0036}{0036}{0036}	私	
5	055F	0	{0026:10604}{0026:1080}	わし	
5	055F	1	{0034:1339}	おれ	
5	055F	2	{0034:1515}	おれ	
5	055F	3	{0036}{0036}{0026:7}	わたし	
5	055F	4	{0036}{0026:30}{0026:94}{0026:99}	わし	
5	055F	5	{0036}{0036}	私	
5	055F	6	{0036}	私	
6	0560	0	{0026:10604}{0026:1339}{0026:130}{0026:2493}	おれたち	
6	0560	1	{0035}	我ら	
6	0560	2	{0036}{0036}	おれたち	
6	0560	3	{0036}{0036}{0026:7}{0026:31}	わらわたち	
6	0560	4	{0034:30}	わたしたち	
6	0560	5	{0036}	わたしたち	
6	0560	6	{0035}{0026:31}	朕ら	
6	0560	7	{0036}{0036}	我ら	
7	0561	0	{0026:500}{0026:510}{00CF}	N	
7	0561	1	{0035}{0026:106}	父上	
7	0561	2	{0036}	母上	
7	0561	3	{0036}{0036}{0026:501}{0026:528}{00CF}	N	
7	0561	4	{0036}{0026:510}{00CF}	N	
7	0561	5	{0035}{0026:106}	兄上	
7	0561	6	{0036}	姉上	
7	0561	7	{0036}{0036}{0026:513}{0026:510}{00CF}	N	
7	0561	8	{0035}{00CF}	N	
7	0561	9		殿	
7	0561	10	{0036}{0036}{0026:10604}{0026:1339}{0026:2493}	兄者	
7	0561	11	{0034:2080}	兄貴	
7	0561	12	{0036}{0034:1080}{0026:2493}	兄者	
7	0561	13	{0036}{0034:1292}{0026:2201}{0026:130}{0554:1}	公瑾	
7	0561	14	{0554:0}	殿	
7	0561	15	{0035}{0554:1}	公瑾	
7	0561	16	{0554:0}{0036}{0036}{0034:1201}{0026:2292}{0026:130}{0554:1}	伯符	
7	0561	17	{0554:0}	殿	
7	0561	18	{0035}{0554:1}	伯符	
7	0561	19	{0554:0}{0036}{0036}{0034:1493}{0026:2233}{0554:1}	孔明	
7	0561	20	{0554:0}{0036}{0036}{0036}{0026:526}{0026:106}{0026:1339}	兄者	
7	0561	21	{0034:1080}	兄者	
7	0561	22	{0035}	義兄上	
7	0561	23	{0036}{0035}{0026:1339}	姉者	
7	0561	24	{0034:1080}	姉者	
7	0561	25	{0035}	義姉上	
7	0561	26	{0036}{0036}{0036}{0026:527}{00CF}	N	
7	0561	27	{0036}{0026:512}{0026:131}	陛下	
7	0561	28	{0034:130}{0026:10604}{0026:2346}	張師君	
7	0561	29	{0034:2529}	大賢良師様	
7	0561	30	{0034:2531}	地公将軍様	
7	0561	31	{0034:2530}	人公将軍様	
7	0561	32	{0034:2448}	大王様	
7	0561	33	{0035}{00CF}	N	
7	0561	34		様	
7	0561	35	{0036}{0036}{00CF}	N	
7	0561	36		様	
7	0561	37	{0036}{0026:514}{00CF}	N	
7	0561	38		殿	
7	0561	39	{0035}{00CF}	N	
7	0561	40	{0036}{0034:130}{00CF}	N	
7	0561	41		殿	
7	0561	42	{0036}{00CF}	N	
7	0561	43		殿	
8	0562	0	{0026:500}{0026:510}{00CF}	N	
8	0562	1	{0035}{0026:106}	父上	
8	0562	2	{0036}	母上	
8	0562	3	{0036}{0036}{0026:501}{0026:528}{00CF}	N	
8	0562	4	{0036}{0026:510}{00CF}	N	
8	0562	5	{0035}{0026:106}	兄上	
8	0562	6	{0036}	姉上	
8	0562	7	{0036}{0036}{0026:513}{0026:510}{00CF}	N	
8	0562	8	{0035}{00CF}	N	
8	0562	9		殿	
8	0562	10	{0036}{0036}{0026:10604}{0026:1339}{0026:2493}	兄者	
8	0562	11	{0034:2080}	兄貴	
8	0562	12	{0036}{0034:1080}{0026:2493}	兄者	
8	0562	13	{0036}{0034:1292}{0026:2201}{0026:130}{0554:1}	公瑾	
8	0562	14	{0554:0}	殿	
8	0562	15	{0035}{0554:1}	公瑾	
8	0562	16	{0554:0}{0036}{0036}{0034:1201}{0026:2292}{0026:130}{0554:1}	伯符	
8	0562	17	{0554:0}	殿	
8	0562	18	{0035}{0554:1}	伯符	
8	0562	19	{0554:0}{0036}{0036}{0034:1493}{0026:2233}{0554:1}	孔明	
8	0562	20	{0554:0}{0036}{0036}{0036}{0026:526}{0026:106}{0026:1339}	兄者	
8	0562	21	{0034:1080}	兄者	
8	0562	22	{0035}	義兄上	
8	0562	23	{0036}{0035}{0026:1339}	姉者	
8	0562	24	{0034:1080}	姉者	
8	0562	25	{0035}	義姉上	
8	0562	26	{0036}{0036}{0036}{0026:527}{00CF}	N	
8	0562	27	{0036}{0026:512}{0026:130}{00CF}	N	
8	0562	28		様	
8	0562	29	{0036}{00CF}	N	
8	0562	30		殿	
8	0562	31	{0034:130}{00CF}	N	
8	0562	32		殿	
8	0562	33	{0036}{00CF}	N	
8	0562	34		殿	
9	0563	0	{0026:500}{0026:510}	そなた	
9	0563	1	{0035}{0026:106}	あなた	
9	0563	2	{0036}	あなた	
9	0563	3	{0036}{0036}{0026:501}{0026:528}	そなた	
9	0563	4	{0036}{0026:510}	そなた	
9	0563	5	{0035}{0026:106}	あなた	
9	0563	6	{0036}	あなた	
9	0563	7	{0036}{0036}{0026:513}{0026:510}	そなた	
9	0563	8	{0035}{0026:106}	あなた	
9	0563	9	{0036}	あなた	
9	0563	10	{0036}{0036}{0026:10604}{0026:1339}{0026:2493}	兄者	
9	0563	11	{0034:2080}	兄貴	
9	0563	12	{0036}{0034:1080}{0026:2493}	あなた	
9	0563	13	{0036}{0036}{0036}{0026:526}{0026:106}{0026:6}{0026:22}{0026:12}	あなた	
9	0563	14	{0036}{0036}{0034:9}	あなた	
9	0563	15	{0036}	あなた	
9	0563	16	{0035}{0026:22}{0026:12}	あなた	
9	0563	17	{0036}{0035}{0026:9}	あなた	
9	0563	18	{0036}{0036}	あなた	
9	0563	19	{0036}{0036}{0026:527}	お前	
9	0563	20	{0034:1204}{0026:2448}	あなた	
9	0563	21	{0036}{0034:1448}{0026:2204}	お前	
9	0563	22	{0036}{0036}{0026:512}{0026:131}{0026:107}	貴女	
9	0563	23	{0036}	貴方	
9	0563	24	{0034:31}	そなた	
9	0563	25	{0034:130}{0026:107}	貴女	
9	0563	26	{0036}	貴方	
9	0563	27	{0034:30}{0026:7}	貴方	
9	0563	28	{0036}	そなた	
9	0563	29	{0034:107}	貴女	
9	0563	30	{0034:514}	貴殿	
9	0563	31	{0036}{0036}{0026:7}{0026:510}	あなた	
9	0563	32	{0034:106}	貴方	
9	0563	33	{0036}	貴女	
9	0563	34	{0036}{0026:510}{0026:513}	そなた	
9	0563	35	{0034:107}	貴女	
9	0563	36	{0036}	貴公	
9	0563	37	{0036}	貴殿	
10	0564	0	{0026:7}	お前	
10	0564	1	{0034:11}	お前	
10	0564	2	{0036}	貴様	
11	0565	0	{0026:500}{0026:510}{00CF}	N	
11	0565	1	{0034:106}	父上	
11	0565	2	{0036}	母上	
11	0565	3	{0036}{0026:501}{0026:510}{00CF}	N	
11	0565	4	{0034:106}	兄上	
11	0565	5	{0036}	姉上	
11	0565	6	{0036}{0026:513}{0026:510}{00CF}	N	
11	0565	7	{0035}{00CF}	N	
11	0565	8		殿	
11	0565	9	{0036}{0036}{0026:10604}{0026:1339}{0026:2493}	兄者	
11	0565	10	{0034:2080}	兄貴	
11	0565	11	{0036}{0034:1080}{0026:2493}	兄者	
11	0565	12	{0036}{0036}{0036}{0026:526}{0026:106}{0026:1339}	兄者	
11	0565	13	{0034:1080}	兄者	
11	0565	14	{0035}	義兄上	
11	0565	15	{0036}{0035}{0026:1339}	姉者	
11	0565	16	{0034:1080}	姉者	
11	0565	17	{0035}	義姉上	
11	0565	18	{0036}{0036}{0036}{0026:527}{00CF}	N	
11	0565	19	{0036}{00CF}	N	
11	0565	20		様	
12	0566	0	{0026:500}{0026:510}{00CF}	N	
12	0566	1	{0034:106}	父上	
12	0566	2	{0036}	母上	
12	0566	3	{0036}{0026:501}{0026:510}{00CF}	N	
12	0566	4	{0034:106}	兄上	
12	0566	5	{0036}	姉上	
12	0566	6	{0036}{00CF}	N	
13	0567	0	{0026:10604}{0026:1339}{0026:3493}	兄者	
13	0567	1	{0034:3080}	兄貴	
13	0567	2	{0036}{0034:1080}{0026:3493}	兄者	
13	0567	3	{0034:3339}{0554:1}	張飛	
13	0567	4	{0554:0}{0036}{0034:1493}{0026:3080}{0554:1}	関羽	
13	0567	5	{0554:0}{0034:3339}{0554:1}	張飛	
13	0567	6	{0554:0}{0034:3233}{0554:1}	孔明	
13	0567	7	{0554:0}{0036}{0034:1493}{0026:3233}{0554:1}	孔明	
13	0567	8	{0554:0}{0036}{0034:1204}{0026:3448}	我が夫	
13	0567	9	{0036}{0034:1448}{0026:3204}{0554:1}	祝融	
13	0567	10	{0554:0}{0036}{0034:3204}{0554:1}	祝融	
13	0567	11	{0554:0}	夫人	
13	0567	12	{0036}{0036}{0026:600}{0026:610}{00D0}	N	
13	0567	13	{0034:206}	父上	
13	0567	14	{0036}	母上	
13	0567	15	{0036}{0026:601}{0026:610}{00D0}	N	
13	0567	16	{0034:206}	兄上	
13	0567	17	{0036}	姉上	
13	0567	18	{0036}{0026:613}{0026:610}{00D0}	N	
13	0567	19	{0035}{00D0}	N	
13	0567	20		殿	
13	0567	21	{0036}{0036}{0026:626}{0026:206}{0026:1339}	兄者	
13	0567	22	{0034:1080}	兄者	
13	0567	23	{0035}	義兄上	
13	0567	24	{0036}{0035}{0026:1339}	姉者	
13	0567	25	{0034:1080}	姉者	
13	0567	26	{0035}	義姉上	
13	0567	27	{0036}{0036}{0036}{0026:627}{00D0}	N	
13	0567	28	{0036}{0026:612}{0026:231}	陛下	
13	0567	29	{0034:230}{0026:10604}{0026:3346}	張師君	
13	0567	30	{0034:3529}	大賢良師様	
13	0567	31	{0034:3531}	地公将軍様	
13	0567	32	{0034:3530}	人公将軍様	
13	0567	33	{0034:3448}	大王様	
13	0567	34	{0035}{00D0}	N	
13	0567	35		様	
13	0567	36	{0036}{0035}{00D0}	N	
13	0567	37		様	
13	0567	38	{0036}{0034:30}{00D0}	N	
13	0567	39	{0034:614}{00D0}	N	
13	0567	40		殿	
13	0567	41	{0036}{0034:230}{00D0}	N	
13	0567	42		殿	
13	0567	43	{0036}{0026:613}{0026:610}{00D0}	N	
13	0567	44	{0036}{0036}{00D0}	N	
13	0567	45		殿	
14	0568	0	{0026:207}	彼女	
14	0568	1	{0035}	彼	
17	056B	0	{0026:600}{0026:610}{00D0}	N	
17	056B	1	{0034:206}	父上	
17	056B	2	{0036}	母上	
17	056B	3	{0036}{00D0}	N	
18	056C	0	{0026:600}{0026:610}	我が子・	
18	056C	1	{00D0}	N	
18	056C	2	{0034:206}	我が父・	
18	056C	3	{00D0}	N	
18	056C	4	{0036}	我が母・	
18	056C	5	{00D0}	N	
18	056C	6	{0036}{0026:601}{0026:610}{0026:206}	我が弟・	
18	056C	7	{00D0}	N	
18	056C	8	{0036}	我が妹・	
18	056C	9	{00D0}	N	
18	056C	10	{0034:206}	我が兄・	
18	056C	11	{00D0}	N	
18	056C	12	{0036}	我が姉・	
18	056C	13	{00D0}	N	
18	056C	14	{0036}{0026:613}	一族の	
18	056C	15	{00D0}	N	
18	056C	16	{0036}{0026:626}{0026:206}	我が義兄・	
18	056C	17	{00D0}	N	
18	056C	18	{0035}	我が義姉・	
18	056C	19	{00D0}	N	
18	056C	20	{0036}{0036}{0026:627}{0026:206}	我が義弟・	
18	056C	21	{00D0}	N	
18	056C	22	{0035}	我が義妹・	
18	056C	23	{00D0}	N	
18	056C	24	{0036}{0036}{0026:612}{0026:230}	我が主・	
18	056C	25	{00D0}	N	
18	056C	26	{0036}{0036}{00D0}	N	
18	056C	27		殿	
20	056E	0	{0026:613}{0026:610}{00D0}	N	
20	056E	1	{0035}{00D0}	N	
20	056E	2		殿	
20	056E	3	{0036}{0036}{0026:626}{00D0}	N	
20	056E	4		殿	
20	056E	5	{0036}{0026:627}{00D0}	N	
20	056E	6	{0036}{00D0}	N	
20	056E	7		殿	
22	0570	0	{0026:230}{0026:612}{0035}{0027:30}{0026:3015}	猿	
22	0570	1	{0034:3493}	えせ君子	
22	0570	2	{0034:3271}	姦雄	
22	0570	3	{0026:207}{0026:213}	女狐	
22	0570	4	{0034:214}	毒婦	
22	0570	5	{0036}{0036}{0036}{0036}{0036}{0026:616}	老いぼれ	
22	0570	6	{0036}{0026:207}{0026:616}	小娘	
22	0570	7	{0036}{0035}{0026:616}{0027:30}	小僧	
22	0570	8	{0036}	青二才	
22	0570	9	{0036}{0036}{0026:222}	匹夫	
22	0570	10	{0034:224}	臆病者	
22	0570	11	{0036}{0026:219}{0027:30}	猪武者	
22	0570	12	{0036}{0034:213}{0027:30}	ほら吹き	
22	0570	13	{0036}{0034:220}	愚か者	
22	0570	14	{0034:221}	愚か者	
22	0570	15	{0036}{0026:230}{0026:612}{0027:50}	逆賊	
22	0570	16	{0036}{0036}{0036}{0026:207}	女	
22	0570	17	{0036}	下郎	
23	0571	0	{0026:7}{0026:512}{0026:130}	ございます	
23	0571	1	{0036}{0036}	あります	
23	0571	2	{0036}{0026:500}{0026:510}	ある	
23	0571	3	{0036}	あります	
23	0571	4	{0036}{0026:1339}	ある	
23	0571	5	{0036}{0026:513}{0026:510}	ある	
23	0571	6	{0035}	あります	
23	0571	7	{0036}{0036}{0026:530}{0026:510}	ある	
23	0571	8	{0035}	あります	
23	0571	9	{0036}{0036}{0026:512}{0026:30}	ある	
23	0571	10	{0036}{0026:130}	ございます	
23	0571	11	{0036}{0026:514}	あります	
23	0571	12	{0036}{0036}	ある	
24	0572	0	{0026:6}{0026:11}	お相手いたそう	
24	0572	1	{0036}{0035}{0026:23}	お相手しよう	
24	0572	2	{0036}	お相手しましょう	
24	0572	3	{0036}	相手になろう	
25	0573	0	{0026:7}{0026:512}{0026:130}	ございまし	
25	0573	1	{0036}{0036}	ありまし	
25	0573	2	{0036}{0026:500}{0026:510}	あっ	
25	0573	3	{0036}	ありまし	
25	0573	4	{0036}{0026:1339}	あっ	
25	0573	5	{0036}{0026:513}{0026:510}	あっ	
25	0573	6	{0035}	ありまし	
25	0573	7	{0036}{0036}{0026:530}{0026:510}	あっ	
25	0573	8	{0035}	ありまし	
25	0573	9	{0036}{0036}{0026:512}{0026:30}	あっ	
25	0573	10	{0036}{0026:130}	ございまし	
25	0573	11	{0036}{0026:514}	ありまし	
25	0573	12	{0036}{0036}	あっ	
26	0574	0	{0026:7}	んで	
26	0574	1	{0036}	べ	
27	0575	0	{0026:7}	びましょう	
27	0575	1	{0036}	ぼう	
28	0576	0	{0026:7}	です	
28	0576	1	{0036}{0026:500}{0026:510}	だ	
28	0576	2	{0036}	です	
28	0576	3	{0036}{0026:1339}	だ	
28	0576	4	{0036}{0026:513}{0026:510}	だ	
28	0576	5	{0035}	です	
28	0576	6	{0036}{0036}{0026:530}{0026:510}	だ	
28	0576	7	{0035}	です	
28	0576	8	{0036}{0036}{0026:512}{0026:30}	だ	
28	0576	9	{0036}{0026:130}	です	
28	0576	10	{0036}{0026:514}	です	
28	0576	11	{0036}{0036}	だ	
29	0577	0	{0026:7}	です	
29	0577	1	{0036}{0026:500}{0026:510}{001E}{0036}	です	
29	0577	2	{0036}{0026:513}{0026:510}{001E}{0035}	です	
29	0577	3	{0036}{0036}{0026:530}{0026:510}{001E}{0035}	です	
29	0577	4	{0036}{0036}{0026:512}{0026:30}{001E}{0036}{0026:130}	です	
29	0577	5	{0036}{0026:514}	です	
30	0578	0	{0026:7}{0026:30}	でございます	
30	0578	1	{0036}	です	
30	0578	2	{0036}{0026:1339}	だ	
30	0578	3	{0036}{0026:513}{0026:510}	だ	
30	0578	4	{0035}	でございます	
30	0578	5	{0036}{0036}{0026:530}{0026:510}	だ	
30	0578	6	{0035}	でございます	
30	0578	7	{0036}{0036}{0026:512}{0026:30}	だ	
30	0578	8	{0036}{0026:130}	でございます	
30	0578	9	{0036}{0036}	です	
31	0579	0	{0026:6}	だ	
31	0579	1	{0036}	よ	
32	057A	0	{0026:7}{0026:513}{0026:510}	ね	
32	057A	1	{0035}	ですね	
32	057A	2	{0036}{0036}{0026:530}{0026:510}	ね	
32	057A	3	{0035}	ですね	
32	057A	4	{0036}{0036}{0026:512}{0026:514}	ですね	
32	057A	5	{0035}	ね	
32	057A	6	{0036}{0036}{0026:130}	ですね	
32	057A	7	{0036}	ね	
32	057A	8	{0036}{0026:500}{0026:510}	だな	
32	057A	9	{0036}	ですな	
32	057A	10	{0036}{0026:1339}	だな	
32	057A	11	{0036}{0026:513}{0026:510}	だな	
32	057A	12	{0035}	ですな	
32	057A	13	{0036}{0036}{0026:530}{0026:510}	だな	
32	057A	14	{0035}	ですな	
32	057A	15	{0036}{0036}{0026:512}{0026:30}	だな	
32	057A	16	{0036}{0026:130}	ですな	
32	057A	17	{0036}{0026:514}	ですな	
32	057A	18	{0036}{0036}	だな	
33	057B	0	{0026:7}	でしょう	
33	057B	1	{0036}{0026:500}{0026:510}	だろう	
33	057B	2	{0036}	でしょう	
33	057B	3	{0036}{0026:1339}	だろう	
33	057B	4	{0036}{0026:513}{0026:510}	だろう	
33	057B	5	{0035}	でしょう	
33	057B	6	{0036}{0036}{0026:530}{0026:510}	だろう	
33	057B	7	{0035}	でしょう	
33	057B	8	{0036}{0036}{0026:512}{0026:30}	だろう	
33	057B	9	{0036}{0026:130}	でしょう	
33	057B	10	{0036}{0026:514}	でしょう	
33	057B	11	{0036}{0036}	だろう	
34	057C	0	{0026:7}	でした	
34	057C	1	{0036}{0026:500}{0026:510}	だった	
34	057C	2	{0036}	でした	
34	057C	3	{0036}{0026:1339}	だった	
34	057C	4	{0036}{0026:513}{0026:510}	だった	
34	057C	5	{0035}	でした	
34	057C	6	{0036}{0036}{0026:530}{0026:510}	だった	
34	057C	7	{0035}	でした	
34	057C	8	{0036}{0036}{0026:512}{0026:30}	だった	
34	057C	9	{0036}{0026:130}	でした	
34	057C	10	{0036}{0026:514}	でした	
34	057C	11	{0036}{0036}	だった	
35	057D	0	{0026:7}	ですって	
35	057D	1	{0036}{0026:500}{0026:510}	だと	
35	057D	2	{0036}	ですと	
35	057D	3	{0036}{0026:1339}	だと	
35	057D	4	{0036}{0026:513}{0026:510}	だと	
35	057D	5	{0035}	ですと	
35	057D	6	{0036}{0036}{0026:530}{0026:510}	だと	
35	057D	7	{0035}	ですと	
35	057D	8	{0036}{0036}{0026:512}{0026:30}	だと	
35	057D	9	{0036}{0026:130}	ですと	
35	057D	10	{0036}{0026:514}	ですと	
35	057D	11	{0036}{0036}{0026:6}	だと	
36	057E	0	{0026:7}	だわ	
37	057F	0	{0026:7}	でして	
37	057F	1	{0036}{0026:500}{0026:510}	で	
37	057F	2	{0036}	でして	
37	057F	3	{0036}{0026:1339}	で	
37	057F	4	{0036}{0026:513}{0026:510}	で	
37	057F	5	{0035}	でして	
37	057F	6	{0036}{0036}{0026:530}{0026:510}	で	
37	057F	7	{0035}	でして	
37	057F	8	{0036}{0036}{0026:512}{0026:30}	で	
37	057F	9	{0036}{0026:130}	でして	
37	057F	10	{0036}{0026:514}	でして	
37	057F	11	{0036}{0036}	で	
38	0580	0	{0026:7}	でしてね	
38	0580	1	{0036}{0026:500}{0026:510}	でな	
38	0580	2	{0036}	でしてな	
38	0580	3	{0036}{0026:1339}	でな	
38	0580	4	{0036}{0026:513}{0026:510}	でな	
38	0580	5	{0035}	でしてな	
38	0580	6	{0036}{0036}{0026:530}{0026:510}	でな	
38	0580	7	{0035}	でしてな	
38	0580	8	{0036}{0036}{0026:512}{0026:30}	でな	
38	0580	9	{0036}{0026:130}	でしてな	
38	0580	10	{0036}{0026:514}	でしてな	
38	0580	11	{0036}{0036}	でな	
39	0581	0	{0026:7}{0026:512}{0026:30}	かしら	
39	0581	1	{0036}{0036}{0026:513}{0026:510}	かしら	
39	0581	2	{0035}	ですか	
39	0581	3	{0036}{0036}{0026:530}{0026:510}	かしら	
39	0581	4	{0035}	ですか	
39	0581	5	{0036}{0036}	ですか	
39	0581	6	{0036}{0026:500}{0026:510}	だろうか	
39	0581	7	{0036}	ですか	
39	0581	8	{0036}{0026:1339}	か	
39	0581	9	{0036}{0026:513}{0026:510}	か	
39	0581	10	{0035}	ですか	
39	0581	11	{0036}{0036}{0026:530}{0026:510}	か	
39	0581	12	{0035}	ですか	
39	0581	13	{0036}{0036}{0026:512}{0026:30}{0026:17}	か	
39	0581	14	{0036}	かな	
39	0581	15	{0036}{0026:130}	ですか	
39	0581	16	{0036}{0026:514}	ですか	
39	0581	17	{0036}{0036}{0026:6}	だろうか	
40	0582	0	{0026:6}	けい	
40	0582	1	{0036}	きなさい	
41	0583	0	{0026:7}{0026:23}	どうですか	
41	0583	1	{0036}	いかがですか	
41	0583	2	{0036}{0026:500}{0026:510}	どうだ	
41	0583	3	{0036}	どうですか	
41	0583	4	{0036}{0026:1339}	どうだ	
41	0583	5	{0036}{0026:513}{0026:510}	どうだ	
41	0583	6	{0035}	どうですか	
41	0583	7	{0036}{0036}{0026:530}{0026:510}	どうだ	
41	0583	8	{0035}	どうですか	
41	0583	9	{0036}{0036}{0026:512}{0026:30}	どうだ	
41	0583	10	{0036}{0026:130}	いかがですか	
41	0583	11	{0036}{0026:514}	いかがですか	
41	0583	12	{0036}{0036}{0011:9399}{003B}{0026:18}	いかがか	
41	0583	13	{0036}{0026:11}	いかがか	
41	0583	14	{0036}	どうだ	
42	0584	0	{0026:7}	いなさい	
42	0584	1	{0036}	え	
43	0585	0	{0026:7}	けれど	
43	0585	1	{0036}	が	
44	0586	0	{0026:7}	ございます	
44	0586	1	{0036}	ござる	
45	0587	0	{0026:7}	ぎます	
45	0587	1	{0036}{0026:500}{0026:510}	ぐ	
45	0587	2	{0036}	ぎます	
45	0587	3	{0036}{0026:1339}	ぐ	
45	0587	4	{0036}{0026:513}{0026:510}	ぐ	
45	0587	5	{0035}	ぎます	
