no	sei	sei_yomi	mei	mei_yomi	azana	ko_sei	ko_mei	ko_azana
0	阿会	±¶²	喃	ÅÝ		아회	남	
1	韋	²	昭	¼®³	弘嗣	위	소	홍사
2	伊	²	籍	¾·	機伯	이	적	기백
3	尹	²Ý	賞	¼®³		윤	상	
4	尹	²Ý	大目	ÀÞ²Ó¸		윤	대목	
5	尹	²Ý	黙	Ó¸	思潜	윤	묵	사잠
6	于	³	吉	·Â		우	길	
7	于	³	禁	·Ý	文則	우	금	문칙
8	于	³	詮	¾Ý		우	전	
9	越	´Â	吉	·Â		월	길	
10	袁	´Ý	遺	²	伯業	원	유	백업
11	袁	´Ý	胤	²Ý		원	윤	
12	閻	´Ý	宇	³	文平	염	우	문평
13	袁	´Ý	煕	·	顕奕	원	희	현혁
14	閻	´Ý	柔	¼Þ­³		염	유	
15	袁	´Ý	術	¼Þ­Â	公路	원	술	공로
16	袁	´Ý	尚	¼®³	顕甫	원	상	현보
17	袁	´Ý	紹	¼®³	本初	원	소	본초
18	袁	´Ý	譚	ÀÝ	顕思	원	담	현사
19	閻	´Ý	圃	Î		염	포	
20	袁	´Ý	燿	Ö³		원	요	
21	王	µ³	威	²		왕	위	
22	王	µ³	允	²Ý	子師	왕	윤	자사
23	王	µ³	基	·	伯輿	왕	기	백여
24	王	µ³	〓{F081}	·	孔碩	왕	기	공석
25	王	µ³	匡	·®³	公節	왕	광	공절
26	王	µ³	経	¹²	彦緯	왕	경	언위
27	王	µ³	伉	º³		왕	항	
28	王	µ³	渾	ºÝ	玄沖	왕	혼	현충
29	王	µ³	粲	»Ý	仲宣	왕	찬	중선
30	王	µ³	修	¼­³	叔治	왕	수	숙치
31	王	µ³	戎	¼Þ­³	濬沖	왕	융	준충
32	王	µ³	濬	¼­Ý	士治	왕	준	사치
33	王	µ³	双	¿³	子全	왕	쌍	자전
34	王	µ³	昶	Á®³	文舒	왕	창	문서
35	王	µ³	平	Í²	子均	왕	평	자균
36	王	µ³	甫	Î	国山	왕	보	국산
37	王	µ³	累	Ù²		왕	루	
38	王	µ³	朗	Û³	景興	왕	랑	경흥
39	於	µ	夫羅	Ì×		어	부라	
40	何	¶	晏	±Ý	平叔	하	안	평숙
41	〓{F044}	¶²	越	´Â	異度	괴	월	이도
42	〓{F044}	¶²	良	Ø®³	子柔	괴	량	자유
43	華	¶	覈	¶¸	永先	화	핵	영선
44	俄何	¶Þ¶	焼戈	¼®³¶		아하	소과	
45	賈	¶	逵	·	梁道	가	규	양도
46	何	¶	儀	·Þ		하	의	
47	華	¶	〓{F055}	·Ý	子魚	화	흠	자어
48	賈	¶	〓{F049}	¸	文和	가	후	문화
49	郭	¶¸	奕	´·	伯益	곽	혁	백익
50	郭	¶¸	嘉	¶	奉孝	곽	가	봉효
51	鄂	¶Þ¸	煥	¶Ý		악	환	
52	郭	¶¸	汜	¼		곽	사	
53	霍	¶¸	峻	¼­Ý	仲〓{F04E}	곽	준	중막
54	〓{F05A}	¶¸	昭	¼®³	伯道	학	소	백도
55	楽	¶Þ¸	進	¼Ý	文謙	악	진	문겸
56	楽	¶Þ¸	〓{F072}	ÁÝ		악	침	
57	郭	¶¸	図	Ä	公則	곽	도	공칙
58	郭	¶¸	攸之	Õ³¼	演長	곽	유지	연장
59	霍	¶¸	弋	Ö¸	紹先	곽	익	소선
60	郭	¶¸	淮	Ü²	伯済	곽	회	백제
61	夏侯	¶º³	威	²	季権	하후	위	계권
62	夏侯	¶º³	淵	´Ý	妙才	하후	연	묘재
63	夏侯	¶º³	恩	µÝ		하후	은	
64	夏侯	¶º³	和	¶	義権	하후	화	의권
65	夏侯	¶º³	恵	¹²	稚権	하후	혜	치권
66	夏侯	¶º³	玄	¹ÞÝ	太初	하후	현	태초
67	夏侯	¶º³	尚	¼®³	伯仁	하후	상	백인
68	夏侯	¶º³	徳	Ä¸		하후	덕	
69	夏侯	¶º³	惇	ÄÝ	元譲	하후	돈	원양
70	夏侯	¶º³	覇	Ê	仲権	하후	패	중권
71	夏侯	¶º³	楙	ÎÞ³	子林	하후	무	자림
72	賈	¶	充	¼Þ­³	公閭	가	충	공려
73	賀	¶Þ	斉	¾²	公苗	하	제	공묘
74	華	¶	佗	ÀÞ	元化	화	타	원화
75	雅	¶Þ	丹	ÀÝ		아	단	
76	賈	¶	範	ÊÝ		가	범	
77	軻	¶	比能	ËÉ³		가	비능	
78	華	¶	雄	Õ³		화	웅	
79	関	¶Ý	彝	²		관	이	
80	関	¶Ý	羽	³	雲長	관	우	운장
81	管	¶Ý	亥	¶Þ²		관	해	
82	〓{F07B}丘	¶Ý·­³	倹	¹Ý	仲恭	관구	검	중공
83	韓	¶Ý	玄	¹ÞÝ		한	현	
84	韓	¶Ý	浩	º³	元嗣	한	호	원사
85	関	¶Ý	興	º³	安国	관	흥	안국
86	関	¶Ý	索	»¸		관	삭	
87	韓	¶Ý	遂	½²	文約	한	수	문약
88	韓	¶Ý	嵩	½³	徳高	한	숭	덕고
89	韓	¶Ý	暹	¾Ý		한	섬	
90	〓{F051}	¶Ý	沢	À¸	徳潤	감	택	덕윤
91	関	¶Ý	統	Ä³		관	통	
92	韓	¶Ý	当	Ä³	義公	한	당	의공
93	甘	¶Ý	寧	È²	興覇	감	녕	흥패
94	桓	¶Ý	範	ÊÝ	元則	환	범	원칙
95	韓	¶Ý	馥	Ì¸	文節	한	복	문절
96	関	¶Ý	平	Íß²		관	평	
97	簡	¶Ý	雍	Ö³	憲和	간	옹	헌화
98	顔	¶ÞÝ	良	Ø®³		안	량	
99	管	¶Ý	輅	Û	公明	관	로	공명
100	魏	·Þ	延	´Ý	文長	위	연	문장
101	麹	·¸	義	·Þ		국	의	
102	戯	·	志才	¼»²		희	지재	
103	魏	·Þ	続	¿Þ¸		위	속	
104	魏	·Þ	攸	Õ³		위	유	
105	牛	·Þ­³	金	·Ý		우	금	
106	牛	·Þ­³	輔	Î		우	보	
107	丘	·­³	力居	Ø··®		구	력거	
108	姜	·®³	維	²	伯約	강	유	백약
109	鞏	·®³	志	¼		공	지	
110	橋	·®³	〓{F079}	½Þ²		교	유	
111	〓{F084}	·®³	都	Ä		강	도	
112	橋	·®³	瑁	ÎÞ³	元偉	교	모	원위
113	許	·®	儀	·Þ		허	의	
114	許	·®	貢	º³		허	공	
115	許	·®	劭	¼®³	子将	허	소	자장
116	許	·®	靖	¾²	文休	허	정	문휴
117	許	·®	〓{F05D}	Á®	仲康	허	저	중강
118	許	·®	攸	Õ³	子遠	허	유	자원
119	紀	·	霊	Ú²		기	령	
120	金環	·Ý¶Ý	三結	»Ý¹Â		김환	삼결	
121	金	·Ý	旋	¾Ý	元機	김	선	원기
122	虞	¸Þ	翻	ÎÝ	仲翔	우	번	중상
123	〓{F054}	¹²	道栄	ÄÞ³´²		형	도영	
