group	entry	limit
1	0	30
1	1	30
1	2	30
1	3	30
1	4	30
1	5	30
1	6	30
1	7	30
1	8	30
1	9	36
1	10	30
1	11	30
1	12	30
1	13	42
1	14	30
1	15	30
1	16	30
1	17	30
1	18	30
1	19	36
1	20	30
1	21	32
1	22	30
1	23	30
1	24	30
1	25	30
1	26	30
1	27	30
1	28	30
1	29	30
1	30	30
1	31	30
1	32	30
1	33	30
1	34	42
1	35	30
1	36	30
1	37	30
1	38	30
1	39	30
1	40	30
1	41	30
1	42	30
1	43	30
1	44	30
1	45	42
1	46	34
1	47	30
1	48	38
1	49	32
1	50	30
1	51	44
1	52	32
1	53	30
1	54	30
1	55	40
1	56	30
1	57	30
1	58	30
1	59	30
1	60	30
1	61	30
1	62	30
1	63	30
1	64	30
1	65	30
1	66	30
1	67	34
1	68	34
1	69	34
1	70	34
1	71	34
1	72	34
1	73	34
1	74	34
1	75	34
1	76	34
1	77	34
1	78	34
1	79	34
1	80	34
1	81	34
1	82	34
1	83	34
1	84	34
1	85	28
1	86	28
1	87	28
1	88	28
1	89	28
1	90	28
1	91	28
1	92	28
1	93	28
1	94	28
1	95	28
1	96	28
1	97	28
1	98	28
1	99	28
1	100	28
1	101	28
1	102	28
1	103	28
1	104	28
1	105	28
1	106	28
1	107	28
1	108	28
1	109	28
1	110	28
1	111	28
1	112	28
1	113	28
1	114	28
1	115	28
1	116	28
1	117	28
1	118	28
1	119	28
1	120	28
1	121	28
1	122	28
1	123	34
1	124	28
1	125	30
1	126	28
1	127	30
1	128	28
1	129	28
1	130	28
1	131	28
1	132	28
1	133	28
1	134	28
1	135	28
1	136	28
1	137	28
1	138	28
1	139	28
1	140	28
1	141	28
1	142	28
1	143	28
1	144	28
1	145	30
1	146	28
1	147	28
1	148	30
1	149	30
1	150	28
1	151	28
1	152	28
1	153	28
1	154	28
1	155	28
1	156	28
1	157	28
1	158	28
1	159	28
1	160	28
1	161	28
1	162	28
1	163	28
1	164	28
1	165	28
1	166	28
1	167	28
1	168	28
1	169	28
1	170	40
1	171	40
1	172	28
1	173	28
1	174	28
1	175	28
1	177	36
1	178	34
1	179	40
1	180	32
1	181	28
1	182	30
1	183	36
1	184	28
1	185	36
1	186	28
1	187	30
1	188	28
1	189	28
1	190	28
1	191	30
1	192	30
1	193	28
1	194	28
1	195	28
1	196	28
1	197	32
2	1	22
2	2	26
2	3	22
2	4	22
2	5	22
2	6	23
2	7	22
2	8	22
2	9	23
2	10	23
2	11	26
2	12	28
2	13	24
2	14	24
2	15	22
2	16	22
2	17	22
2	18	22
2	19	22
2	20	22
2	21	22
2	22	22
2	23	28
2	24	36
2	25	26
2	26	22
2	27	22
2	28	29
2	29	26
2	30	28
2	31	22
3	0	22
3	1	22
3	2	24
3	3	22
3	4	22
3	5	24
3	6	26
3	7	26
3	8	22
3	9	22
3	10	30
3	11	22
3	12	24
3	13	22
3	14	22
3	15	22
3	16	26
3	17	22
3	18	22
3	19	22
3	20	22
3	21	22
3	22	22
3	23	22
3	24	22
3	25	26
3	26	22
3	27	22
3	28	30
3	29	22
3	30	22
3	31	24
3	32	22
3	33	24
3	34	22
3	35	22
3	36	24
3	37	26
