group	entry	jp	ko
0	0	{0026:5}{00CE}N‖⏎{0036}{0026:1204}{0554:1}祝融‖{0554:0}夫人‖⏎{0036}{0026:30}{00CE}N‖様‖⏎{0036}{00CE}N‖殿‖⏎{003B}	{0026:5}{00CE}N‖⏎{0036}{0026:1204}{0554:1}축융‖{0554:0}부인‖⏎{0036}{0026:30}{00CE}N‖ 님‖⏎{0036}{00CE}N‖ 님‖⏎{003B}
0	1	{0026:500}{0026:510}{0026:6}息子‖⏎{0036}娘‖⏎{0034:6}父‖⏎{0036}母‖⏎{0036}{0026:501}{0026:510}{0026:6}弟‖⏎{0036}妹‖⏎{0034:6}兄‖⏎{0036}姉‖⏎{0036}{003B}	{0026:500}{0026:510}{0026:6}아들‖⏎{0036}딸‖⏎{0034:6}아버지‖⏎{0036}어머니‖⏎{0036}{0026:501}{0026:510}{0026:6}아우‖⏎{0036}누이‖⏎{0034:6}형‖⏎{0036}누나‖⏎{0036}{003B}
0	2	{0026:511}{0035}{008E}N‖の‖⏎{0036}{003B}	{0026:511}{0035}{008E}N‖의‖⏎{0036}{003B}
0	3	{0026:1339}すまねぇ‖⏎{0036}{0026:500}{0026:510}{0026:6}すまぬ‖⏎{0036}すみません‖⏎{0036}申し訳ありません‖⏎{0036}{0026:501}{0026:510}{0026:6}すまぬ‖⏎{0036}すみません‖⏎{0036}申し訳ありません‖⏎{0036}{0026:7}{0026:30}すみません‖⏎{0036}申し訳ありません‖⏎{0036}{0026:512}{0026:30}すまぬ‖⏎{0036}{0026:130}申し訳ありません‖⏎{0036}{0026:514}申し訳ありません‖⏎{0036}{0036}すまぬ‖⏎{003B}	{0026:1339}미안하다‖⏎{0036}{0026:500}{0026:510}{0026:6}미안하네‖⏎{0036}죄송합니다‖⏎{0036}송구합니다‖⏎{0036}{0026:501}{0026:510}{0026:6}미안하네‖⏎{0036}죄송합니다‖⏎{0036}송구합니다‖⏎{0036}{0026:7}{0026:30}죄송합니다‖⏎{0036}송구합니다‖⏎{0036}{0026:512}{0026:30}미안하네‖⏎{0036}{0026:130}송구합니다‖⏎{0036}{0026:514}송구합니다‖⏎{0036}{0036}미안하네‖⏎{003B}
0	4	{0026:10604}{0026:1339}{0026:130}{0026:2493}おれ‖⏎{0035}それがし‖⏎{0036}{0036}おれ‖⏎{0034:1080}{0026:130}それがし‖⏎{0036}わし‖⏎{0034:1515}{0026:513}{0026:510}おれ‖⏎{0035}それがし‖⏎{0036}{0036}{0026:530}{0026:510}おれ‖⏎{0035}それがし‖⏎{0036}{0036}{0026:130}それがし‖⏎{0036}{0026:512}{0026:30}おれ‖⏎{0036}{0026:130}それがし‖⏎{0036}{0026:514}それがし‖⏎{0036}{0036}おれ‖⏎{0036}{0036}{0026:7}{0026:31}わらわ‖⏎{0034:30}わたし‖⏎{0036}わたし‖⏎{0035}{0026:31}朕‖⏎{0034:30}{0026:94}{0026:99}わし‖⏎{0036}{0036}私‖⏎{0034:15}{0026:513}{0026:510}私‖⏎{0035}それがし‖⏎{0036}{0035}それがし‖⏎{0036}{0034:16}{0026:513}{0026:510}私‖⏎{0035}それがし‖⏎{0036}{0035}それがし‖⏎{0036}{0036}{0036}私‖⏎{003B}	{0026:10604}{0026:1339}{0026:130}{0026:2493}나‖⏎{0035}소장‖⏎{0036}{0036}나‖⏎{0034:1080}{0026:130}소장‖⏎{0036}나‖⏎{0034:1515}{0026:513}{0026:510}나‖⏎{0035}소장‖⏎{0036}{0036}{0026:530}{0026:510}나‖⏎{0035}소장‖⏎{0036}{0036}{0026:130}소장‖⏎{0036}{0026:512}{0026:30}나‖⏎{0036}{0026:130}소장‖⏎{0036}{0026:514}소장‖⏎{0036}{0036}나‖⏎{0036}{0036}{0026:7}{0026:31}나‖⏎{0034:30}저‖⏎{0036}저‖⏎{0035}{0026:31}짐‖⏎{0034:30}{0026:94}{0026:99}나‖⏎{0036}{0036}저‖⏎{0034:15}{0026:513}{0026:510}저‖⏎{0035}소장‖⏎{0036}{0035}소장‖⏎{0036}{0034:16}{0026:513}{0026:510}저‖⏎{0035}소장‖⏎{0036}{0035}소장‖⏎{0036}{0036}{0036}저‖⏎{003B}
0	5	{0026:10604}{0026:1080}わし‖⏎{0034:1339}おれ‖⏎{0034:1515}おれ‖⏎{0036}{0036}{0026:7}わたし‖⏎{0036}{0026:30}{0026:94}{0026:99}わし‖⏎{0036}{0036}私‖⏎{0036}私‖⏎{003B}	{0026:10604}{0026:1080}나‖⏎{0034:1339}나‖⏎{0034:1515}나‖⏎{0036}{0036}{0026:7}저‖⏎{0036}{0026:30}{0026:94}{0026:99}나‖⏎{0036}{0036}저‖⏎{0036}저‖⏎{003B}
0	6	{0026:10604}{0026:1339}{0026:130}{0026:2493}おれたち‖⏎{0035}我ら‖⏎{0036}{0036}おれたち‖⏎{0036}{0036}{0026:7}{0026:31}わらわたち‖⏎{0034:30}わたしたち‖⏎{0036}わたしたち‖⏎{0035}{0026:31}朕ら‖⏎{0036}{0036}我ら‖⏎{003B}	{0026:10604}{0026:1339}{0026:130}{0026:2493}우리‖⏎{0035}우리‖⏎{0036}{0036}우리‖⏎{0036}{0036}{0026:7}{0026:31}우리‖⏎{0034:30}저희‖⏎{0036}저희‖⏎{0035}{0026:31}우리‖⏎{0036}{0036}우리‖⏎{003B}
0	7	{0026:500}{0026:510}{00CF}N‖⏎{0035}{0026:106}父上‖⏎{0036}母上‖⏎{0036}{0036}{0026:501}{0026:528}{00CF}N‖⏎{0036}{0026:510}{00CF}N‖⏎{0035}{0026:106}兄上‖⏎{0036}姉上‖⏎{0036}{0036}{0026:513}{0026:510}{00CF}N‖⏎{0035}{00CF}N‖殿‖⏎{0036}{0036}{0026:10604}{0026:1339}{0026:2493}兄者‖⏎{0034:2080}兄貴‖⏎{0036}{0034:1080}{0026:2493}兄者‖⏎{0036}{0034:1292}{0026:2201}{0026:130}{0554:1}公瑾‖{0554:0}殿‖⏎{0035}{0554:1}公瑾‖{0554:0}⏎{0036}{0036}{0034:1201}{0026:2292}{0026:130}{0554:1}伯符‖{0554:0}殿‖⏎{0035}{0554:1}伯符‖{0554:0}⏎{0036}{0036}{0034:1493}{0026:2233}{0554:1}孔明‖{0554:0}⏎{0036}{0036}{0036}{0026:526}{0026:106}{0026:1339}兄者‖⏎{0034:1080}兄者‖⏎{0035}義兄上‖⏎{0036}{0035}{0026:1339}姉者‖⏎{0034:1080}姉者‖⏎{0035}義姉上‖⏎{0036}{0036}{0036}{0026:527}{00CF}N‖⏎{0036}{0026:512}{0026:131}陛下‖⏎{0034:130}{0026:10604}{0026:2346}張師君‖⏎{0034:2529}大賢良師様‖⏎{0034:2531}地公将軍様‖⏎{0034:2530}人公将軍様‖⏎{0034:2448}大王様‖⏎{0035}{00CF}N‖様‖⏎{0036}{0036}{00CF}N‖様‖⏎{0036}{0026:514}{00CF}N‖殿‖⏎{0035}{00CF}N‖⏎{0036}{0034:130}{00CF}N‖殿‖⏎{0036}{00CF}N‖殿‖⏎{003B}	{0026:500}{0026:510}{00CF}N‖⏎{0035}{0026:106}아버님‖⏎{0036}어머님‖⏎{0036}{0036}{0026:501}{0026:528}{00CF}N‖⏎{0036}{0026:510}{00CF}N‖⏎{0035}{0026:106}형님‖⏎{0036}누님‖⏎{0036}{0036}{0026:513}{0026:510}{00CF}N‖⏎{0035}{00CF}N‖ 님‖⏎{0036}{0036}{0026:10604}{0026:1339}{0026:2493}형님‖⏎{0034:2080}형님‖⏎{0036}{0034:1080}{0026:2493}형님‖⏎{0036}{0034:1292}{0026:2201}{0026:130}{0554:1}공근‖{0554:0}주공‖⏎{0035}{0554:1}공근‖{0554:0}⏎{0036}{0036}{0034:1201}{0026:2292}{0026:130}{0554:1}백부‖{0554:0}주공‖⏎{0035}{0554:1}백부‖{0554:0}⏎{0036}{0036}{0034:1493}{0026:2233}{0554:1}공명‖{0554:0}⏎{0036}{0036}{0036}{0026:526}{0026:106}{0026:1339}형님‖⏎{0034:1080}형님‖⏎{0035}매형‖⏎{0036}{0035}{0026:1339}누님‖⏎{0034:1080}누님‖⏎{0035}형수님‖⏎{0036}{0036}{0036}{0026:527}{00CF}N‖⏎{0036}{0026:512}{0026:131}폐하‖⏎{0034:130}{0026:10604}{0026:2346}장 사군‖⏎{0034:2529}대현량사님‖⏎{0034:2531}지공장군님‖⏎{0034:2530}인공장군님‖⏎{0034:2448}대왕님‖⏎{0035}{00CF}N‖ 님‖⏎{0036}{0036}{00CF}N‖ 님‖⏎{0036}{0026:514}{00CF}N‖ 님‖⏎{0035}{00CF}N‖⏎{0036}{0034:130}{00CF}N‖ 님‖⏎{0036}{00CF}N‖ 님‖⏎{003B}
0	8	{0026:500}{0026:510}{00CF}N‖⏎{0035}{0026:106}父上‖⏎{0036}母上‖⏎{0036}{0036}{0026:501}{0026:528}{00CF}N‖⏎{0036}{0026:510}{00CF}N‖⏎{0035}{0026:106}兄上‖⏎{0036}姉上‖⏎{0036}{0036}{0026:513}{0026:510}{00CF}N‖⏎{0035}{00CF}N‖殿‖⏎{0036}{0036}{0026:10604}{0026:1339}{0026:2493}兄者‖⏎{0034:2080}兄貴‖⏎{0036}{0034:1080}{0026:2493}兄者‖⏎{0036}{0034:1292}{0026:2201}{0026:130}{0554:1}公瑾‖{0554:0}殿‖⏎{0035}{0554:1}公瑾‖{0554:0}⏎{0036}{0036}{0034:1201}{0026:2292}{0026:130}{0554:1}伯符‖{0554:0}殿‖⏎{0035}{0554:1}伯符‖{0554:0}⏎{0036}{0036}{0034:1493}{0026:2233}{0554:1}孔明‖{0554:0}⏎{0036}{0036}{0036}{0026:526}{0026:106}{0026:1339}兄者‖⏎{0034:1080}兄者‖⏎{0035}義兄上‖⏎{0036}{0035}{0026:1339}姉者‖⏎{0034:1080}姉者‖⏎{0035}義姉上‖⏎{0036}{0036}{0036}{0026:527}{00CF}N‖⏎{0036}{0026:512}{0026:130}{00CF}N‖様‖⏎{0036}{00CF}N‖殿‖⏎{0034:130}{00CF}N‖殿‖⏎{0036}{00CF}N‖殿‖⏎{003B}	{0026:500}{0026:510}{00CF}N‖⏎{0035}{0026:106}아버님‖⏎{0036}어머님‖⏎{0036}{0036}{0026:501}{0026:528}{00CF}N‖⏎{0036}{0026:510}{00CF}N‖⏎{0035}{0026:106}형님‖⏎{0036}누님‖⏎{0036}{0036}{0026:513}{0026:510}{00CF}N‖⏎{0035}{00CF}N‖ 님‖⏎{0036}{0036}{0026:10604}{0026:1339}{0026:2493}형님‖⏎{0034:2080}형님‖⏎{0036}{0034:1080}{0026:2493}형님‖⏎{0036}{0034:1292}{0026:2201}{0026:130}{0554:1}공근‖{0554:0}주공‖⏎{0035}{0554:1}공근‖{0554:0}⏎{0036}{0036}{0034:1201}{0026:2292}{0026:130}{0554:1}백부‖{0554:0}주공‖⏎{0035}{0554:1}백부‖{0554:0}⏎{0036}{0036}{0034:1493}{0026:2233}{0554:1}공명‖{0554:0}⏎{0036}{0036}{0036}{0026:526}{0026:106}{0026:1339}형님‖⏎{0034:1080}형님‖⏎{0035}매형‖⏎{0036}{0035}{0026:1339}누님‖⏎{0034:1080}누님‖⏎{0035}형수님‖⏎{0036}{0036}{0036}{0026:527}{00CF}N‖⏎{0036}{0026:512}{0026:130}{00CF}N‖ 님‖⏎{0036}{00CF}N‖ 님‖⏎{0034:130}{00CF}N‖ 님‖⏎{0036}{00CF}N‖ 님‖⏎{003B}
0	9	{0026:500}{0026:510}そなた‖⏎{0035}{0026:106}あなた‖⏎{0036}あなた‖⏎{0036}{0036}{0026:501}{0026:528}そなた‖⏎{0036}{0026:510}そなた‖⏎{0035}{0026:106}あなた‖⏎{0036}あなた‖⏎{0036}{0036}{0026:513}{0026:510}そなた‖⏎{0035}{0026:106}あなた‖⏎{0036}あなた‖⏎{0036}{0036}{0026:10604}{0026:1339}{0026:2493}兄者‖⏎{0034:2080}兄貴‖⏎{0036}{0034:1080}{0026:2493}あなた‖⏎{0036}{0036}{0036}{0026:526}{0026:106}{0026:6}{0026:22}{0026:12}あなた‖⏎{0036}{0036}{0034:9}あなた‖⏎{0036}あなた‖⏎{0035}{0026:22}{0026:12}あなた‖⏎{0036}{0035}{0026:9}あなた‖⏎{0036}{0036}あなた‖⏎{0036}{0036}{0026:527}お前‖⏎{0034:1204}{0026:2448}あなた‖⏎{0036}{0034:1448}{0026:2204}お前‖⏎{0036}{0036}{0026:512}{0026:131}{0026:107}貴女‖⏎{0036}貴方‖⏎{0034:31}そなた‖⏎{0034:130}{0026:107}貴女‖⏎{0036}貴方‖⏎{0034:30}{0026:7}貴方‖⏎{0036}そなた‖⏎{0034:107}貴女‖⏎{0034:514}貴殿‖⏎{0036}{0036}{0026:7}{0026:510}あなた‖⏎{0034:106}貴方‖⏎{0036}貴女‖⏎{0036}{0026:510}{0026:513}そなた‖⏎{0034:107}貴女‖⏎{0036}貴公‖⏎{0036}貴殿‖⏎{003B}	{0026:500}{0026:510}그대‖⏎{0035}{0026:106}당신‖⏎{0036}당신‖⏎{0036}{0036}{0026:501}{0026:528}그대‖⏎{0036}{0026:510}그대‖⏎{0035}{0026:106}당신‖⏎{0036}당신‖⏎{0036}{0036}{0026:513}{0026:510}그대‖⏎{0035}{0026:106}당신‖⏎{0036}당신‖⏎{0036}{0036}{0026:10604}{0026:1339}{0026:2493}형님‖⏎{0034:2080}형님‖⏎{0036}{0034:1080}{0026:2493}당신‖⏎{0036}{0036}{0036}{0026:526}{0026:106}{0026:6}{0026:22}{0026:12}당신‖⏎{0036}{0036}{0034:9}당신‖⏎{0036}당신‖⏎{0035}{0026:22}{0026:12}당신‖⏎{0036}{0035}{0026:9}당신‖⏎{0036}{0036}당신‖⏎{0036}{0036}{0026:527}자네‖⏎{0034:1204}{0026:2448}당신‖⏎{0036}{0034:1448}{0026:2204}자네‖⏎{0036}{0036}{0026:512}{0026:131}{0026:107}그대‖⏎{0036}그대‖⏎{0034:31}그대‖⏎{0034:130}{0026:107}그대‖⏎{0036}그대‖⏎{0034:30}{0026:7}그대‖⏎{0036}그대‖⏎{0034:107}그대‖⏎{0034:514}귀공‖⏎{0036}{0036}{0026:7}{0026:510}당신‖⏎{0034:106}그대‖⏎{0036}그대‖⏎{0036}{0026:510}{0026:513}그대‖⏎{0034:107}그대‖⏎{0036}귀공‖⏎{0036}귀공‖⏎{003B}
